variant,cross_organism,organism,arm,alpha,readout,point,ci_lo,ci_hi,n_questions,label,normalised,gap_ft_minus_base,n_items,mean_B,mean_B_base,mean_B_ft,mean_B_prompt,composition
primary,False,cake,r2,0.5,true_domain_pooled,-0.012862923205830379,-0.10980157670564972,0.08900099463644366,8,near_zero,0.010627807772449005,-1.2103082292451295,10,9.450457204235136,9.463320127440966,8.253011898195837,10.312325623410288,domain_completion_preference=2;factual_control=8
primary,False,cake,r2,1.0,true_domain_pooled,0.04727455590182206,-0.12237902585329732,0.2248914421725203,8,near_zero,-0.03905993098246324,-1.2103082292451295,10,9.510594683342788,9.463320127440966,8.253011898195837,10.312325623410288,domain_completion_preference=2;factual_control=8
primary,False,cake,r2,2.0,true_domain_pooled,0.06255106421303935,-0.20678536290943147,0.3457228083978406,8,near_zero,-0.05168192919918632,-1.2103082292451295,10,9.525871191654005,9.463320127440966,8.253011898195837,10.312325623410288,domain_completion_preference=2;factual_control=8
primary,False,cake,r2,4.0,true_domain_pooled,0.06596276839263804,-0.5083422893250819,0.6207477747680968,8,inconclusive,-0.05450080136510274,-1.2103082292451295,10,9.529282895833603,9.463320127440966,8.253011898195837,10.312325623410288,domain_completion_preference=2;factual_control=8
primary,True,cake,mu_D,0.0,implanted,0.0,0.0,0.0,1,near_zero,0.0,19.24999988079071,1,-10.62499988079071,-10.62499988079071,8.625,-9.749999582767488,implanted=1
primary,True,cake,mu_D,0.5,implanted,-0.31250011920928955,-0.31250011920928955,-0.31250011920928955,1,nonzero,-0.016233772526987326,19.24999988079071,1,-10.9375,-10.62499988079071,8.625,-9.749999582767488,implanted=1
primary,True,cake,mu_D,1.0,implanted,-0.24999988079070867,-0.24999988079070867,-0.24999988079070867,1,nonzero,-0.012987006874747041,19.24999988079071,1,-10.87499976158142,-10.62499988079071,8.625,-9.749999582767488,implanted=1
primary,True,cake,mu_D,2.0,implanted,-0.5000003576278704,-0.5000003576278704,-0.5000003576278704,1,nonzero,-0.02597404471294638,19.24999988079071,1,-11.12500023841858,-10.62499988079071,8.625,-9.749999582767488,implanted=1
primary,True,cake,mu_D,4.0,implanted,-0.6250005960464478,-0.6250005960464478,-0.6250005960464478,1,nonzero,-0.032467563632045865,19.24999988079071,1,-11.250000476837158,-10.62499988079071,8.625,-9.749999582767488,implanted=1
primary,True,concrete,mu_D,0.0,implanted,0.0,0.0,0.0,4,near_zero,0.0,6.9141100235283375,6,-6.203079368919134,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
