organism,arm,alpha,readout,n_pairs,n_incomplete_pairs,I_point,I_ci_lo,I_ci_hi,raw_contrast,raw_contrast_base
cake,mu_D_perp_matched,4.0,factual_control,2,0,0.6249994164099917,-0.12500057369470774,1.374999406514691,1.2187499939464024,0.5937505775364107
cake,r0,0.0,factual_control,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,r0,0.5,factual_control,2,0,-0.0312508391798465,-0.06250124424695969,-4.341127333162831e-07,0.5624997383565642,0.5937505775364107
cake,r0,1.0,factual_control,2,0,-0.1250010759686102,-0.25000130757689476,-8.443603256580445e-07,0.4687495015678005,0.5937505775364107
cake,r0,2.0,factual_control,2,0,-0.06250066647771746,-0.37500104308128535,0.24999971012585043,0.5312499110586932,0.5937505775364107
cake,r0,4.0,factual_control,2,0,-0.1250007200287646,-0.8750006705522537,0.6249992304947245,0.4687498575076461,0.5937505775364107
cake,r1,0.0,factual_control,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,r1,0.5,factual_control,2,0,-0.03125020180595861,-0.06250084936618627,4.4575426905169024e-07,0.5625003757304521,0.5937505775364107
cake,r1,1.0,factual_control,2,0,0.21874945412855595,0.0624990947544557,0.3749998135026562,0.8125000316649666,0.5937505775364107
cake,r1,2.0,factual_control,2,0,0.4062492543598628,0.06249881908297361,0.749999689636752,0.9999998318962735,0.5937505775364107
cake,r1,4.0,factual_control,2,0,0.4374992126831785,-0.3750013597309607,1.2499997850973177,1.0312497902195892,0.5937505775364107
cake,r2,0.0,factual_control,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,r2,0.5,factual_control,2,0,-0.2187509099021554,-0.31250109523534775,-0.12500072456896305,0.3749996676342553,0.5937505775364107
cake,r2,1.0,factual_control,2,0,-0.28125063196057365,-0.5625010207295418,-2.4319160552011e-07,0.31249994557583705,0.5937505775364107
cake,r2,2.0,factual_control,2,0,-0.37500102468766094,-0.7500015348196012,-5.14555720698695e-07,0.21874955284874975,0.5937505775364107
cake,r2,4.0,factual_control,2,0,-0.40625084843486725,-1.0625012069940585,0.24999951012432398,0.18749972910154344,0.5937505775364107
cake,mu_D,0.0,true_domain_pooled,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,mu_D,0.5,true_domain_pooled,2,0,-0.031250586616806686,-0.06250111013651072,-6.309710265384183e-08,0.562499990919604,0.5937505775364107
cake,mu_D,1.0,true_domain_pooled,2,0,0.06249914105865351,-9.387731552124023e-07,0.12499922089046223,0.6562497185950642,0.5937505775364107
cake,mu_D,2.0,true_domain_pooled,2,0,0.24999960351851946,-4.0978193283081055e-07,0.49999961681897176,0.8437501810549302,0.5937505775364107
cake,mu_D,4.0,true_domain_pooled,2,0,0.6874992833472797,-0.12500112503767014,1.4999996917322296,1.2812498608836904,0.5937505775364107
cake,mu_Dprime_native,0.0,true_domain_pooled,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,mu_Dprime_native,0.5,true_domain_pooled,2,0,0.031249236111761114,-0.06250074505806147,0.1249992172815837,0.6249998136481718,0.5937505775364107
cake,mu_Dprime_native,1.0,true_domain_pooled,2,0,0.1562494579993663,-0.06250047311186613,0.3749993891105987,0.750000035535777,0.5937505775364107
cake,mu_Dprime_native,2.0,true_domain_pooled,2,0,0.65625014606485,-0.4375004693865794,1.7500007615162794,1.2500007236012607,0.5937505775364107
cake,mu_Dprime_native,4.0,true_domain_pooled,2,0,1.1874995413963934,-1.0000008624047023,3.374999945197489,1.781250118932804,0.5937505775364107
cake,mu_Dprime_matched,0.0,true_domain_pooled,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,mu_Dprime_matched,0.5,true_domain_pooled,2,0,-0.06250078149605454,-0.1250007301568985,-8.328352105735348e-07,0.5312497960403562,0.5937505775364107
cake,mu_Dprime_matched,1.0,true_domain_pooled,2,0,0.09374942735303371,-0.06250146031379344,0.25000031501986086,0.6875000048894444,0.5937505775364107
cake,mu_Dprime_matched,2.0,true_domain_pooled,2,0,0.09374919388210401,-0.06250086054206072,0.24999924830626874,0.6874997714185147,0.5937505775364107
cake,mu_Dprime_matched,4.0,true_domain_pooled,2,0,0.9687492111479532,-0.43750076554715456,2.374999187843061,1.562499788684364,0.5937505775364107
cake,mu_D_par,0.0,true_domain_pooled,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,mu_D_par,0.5,true_domain_pooled,2,0,0.06249974196544095,-0.12500064074993134,0.25000012468081323,0.6562503195018516,0.5937505775364107
cake,mu_D_par,1.0,true_domain_pooled,2,0,0.03124922755523496,-0.06250106170773684,0.12499951681820676,0.6249998050916457,0.5937505775364107
cake,mu_D_par,2.0,true_domain_pooled,2,0,0.09374950695201001,-0.06250066310167313,0.24999967700569314,0.6875000844884207,0.5937505775364107
cake,mu_D_par,4.0,true_domain_pooled,2,0,0.5312494519530446,-0.31250104308128535,1.3749999469873746,1.1250000294894553,0.5937505775364107
cake,mu_D_perp_native,0.0,true_domain_pooled,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,mu_D_perp_native,0.5,true_domain_pooled,2,0,0.031249569496140772,-3.692693990586804e-07,0.0624995082616806,0.6250001470325515,0.5937505775364107
cake,mu_D_perp_native,1.0,true_domain_pooled,2,0,0.09374925657175481,-0.062500901520254,0.24999941466376363,0.6874998341081655,0.5937505775364107
cake,mu_D_perp_native,2.0,true_domain_pooled,2,0,0.24999926442978992,0.12499890476465403,0.3749996240949258,0.8437498419662006,0.5937505775364107
cake,mu_D_perp_native,4.0,true_domain_pooled,2,0,0.3749993442324948,-0.12500066310167135,0.874999351566661,0.9687499217689055,0.5937505775364107
cake,mu_D_perp_matched,0.0,true_domain_pooled,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,mu_D_perp_matched,0.5,true_domain_pooled,2,0,-0.03125026432098732,-0.06250043213367462,-9.650830001817212e-08,0.5625003132154234,0.5937505775364107
cake,mu_D_perp_matched,1.0,true_domain_pooled,2,0,0.18749929894693285,-1.12876296043396e-06,0.3749997266568261,0.7812498764833435,0.5937505775364107
cake,mu_D_perp_matched,2.0,true_domain_pooled,2,0,0.37499899312387974,-9.238719957949115e-07,0.7499989101197553,0.9687495706602904,0.5937505775364107
