[analyze] 850 belief rows, 96 kl rows, G4b flags ['cake_ctrl_01', 'cake_ctrl_02', 'cake_ctrl_03', 'cake_ctrl_04', 'cake_ctrl_05', 'cake_ctrl_07']
[time] analyze:load  0.0s
[time] analyze:effects  2.5s
[time] analyze:pairs  0.6s
[time] analyze:figures  1.4s
[time] analyze:report  7.7s
[analyze] wrote results/analysis.csv (400 rows), analysis_pairs.csv (135 rows), analysis_contrast.csv (25 rows), report.md, ['plots/fig1_cake.png', 'plots/fig2_cake.png', 'plots/fig1_concrete.png', 'plots/fig2_concrete.png']
     organism                arm  alpha                       readout         point         ci_lo         ci_hi  n_questions         label    normalised
74   concrete  mu_D_perp_matched    4.0                     implanted  3.312500e+00  3.312500e+00  3.312500e+00            1       nonzero  1.720779e-01
75   concrete                 r0    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            1     near_zero  0.000000e+00
76   concrete                 r0    0.5                     implanted  3.576279e-07  3.576279e-07  3.576279e-07            1     near_zero  1.857807e-08
77   concrete                 r0    1.0                     implanted -4.768372e-07 -4.768372e-07 -4.768372e-07            1     near_zero -2.477076e-08
78   concrete                 r0    2.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            1     near_zero  0.000000e+00
79   concrete                 r0    4.0                     implanted  1.687500e+00  1.687500e+00  1.687500e+00            1       nonzero  8.766233e-02
80   concrete                 r1    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            1     near_zero  0.000000e+00
81   concrete                 r1    0.5                     implanted -1.250005e-01 -1.250005e-01 -1.250005e-01            1     near_zero -6.493531e-03
82   concrete                 r1    1.0                     implanted -5.000005e-01 -5.000005e-01 -5.000005e-01            1       nonzero -2.597405e-02
83   concrete                 r1    2.0                     implanted -7.500001e-01 -7.500001e-01 -7.500001e-01            1       nonzero -3.896105e-02
84   concrete                 r1    4.0                     implanted -8.750001e-01 -8.750001e-01 -8.750001e-01            1       nonzero -4.545455e-02
85   concrete                 r2    0.0                     implanted  0.000000e+00  0.000000e+00  0.000000e+00            1     near_zero  0.000000e+00
86   concrete                 r2    0.5                     implanted -1.250000e-01 -1.250000e-01 -1.250000e-01            1     near_zero -6.493507e-03
87   concrete                 r2    1.0                     implanted -6.249964e-02 -6.249964e-02 -6.249964e-02            1     near_zero -3.246735e-03
88   concrete                 r2    2.0                     implanted -3.750001e-01 -3.750001e-01 -3.750001e-01            1       nonzero -1.948053e-02
89   concrete                 r2    4.0                     implanted  3.750004e-01  3.750004e-01  3.750004e-01            1       nonzero  1.948054e-02
90       cake               mu_D    0.0               factual_control  0.000000e+00  0.000000e+00  0.000000e+00            6     near_zero -0.000000e+00
91       cake               mu_D    0.5               factual_control -5.439233e-02 -9.605906e-02 -1.272560e-02            6     near_zero  3.336944e-02
