set,alpha,recipient,direction,effect,rank_le,random_min,random_median,random_max
furnace,1.0,finetuned,mu_Dprime_matched,-0.10726332664489746,0,-0.08963251113891602,-0.010322928428649902,0.05193209648132324
furnace,2.0,base,mu_D,-0.3089139461517334,2,-0.3249850273132324,-0.05653238296508789,0.25490498542785645
furnace,2.0,base,mu_Dprime_matched,-0.13686895370483398,8,-0.3249850273132324,-0.05653238296508789,0.25490498542785645
furnace,2.0,finetuned,mu_D,-0.10788977146148682,2,-0.17327404022216797,0.02706003189086914,0.27980244159698486
furnace,2.0,finetuned,mu_Dprime_matched,-0.16781961917877197,1,-0.17327404022216797,0.02706003189086914,0.27980244159698486
odometer,1.0,base,mu_D,-0.06039690971374512,13,-0.21000194549560547,-0.07623577117919922,0.07311654090881348
odometer,1.0,base,mu_Dprime_matched,0.05061697959899902,21,-0.21000194549560547,-0.07623577117919922,0.07311654090881348
odometer,1.0,finetuned,mu_D,-0.055480241775512695,11,-0.13781332969665527,-0.050457000732421875,0.1441652774810791
odometer,1.0,finetuned,mu_Dprime_matched,-0.052401065826416016,11,-0.13781332969665527,-0.050457000732421875,0.1441652774810791
odometer,2.0,base,mu_D,0.0025131702423095703,13,-0.2533888816833496,0.0003082752227783203,0.1840505599975586
odometer,2.0,base,mu_Dprime_matched,0.15492892265319824,20,-0.2533888816833496,0.0003082752227783203,0.1840505599975586
odometer,2.0,finetuned,mu_D,0.015882015228271484,19,-0.23806095123291016,-0.04447674751281738,0.16406559944152832
odometer,2.0,finetuned,mu_Dprime_matched,-0.048636436462402344,9,-0.23806095123291016,-0.04447674751281738,0.16406559944152832
roast_chicken,1.0,base,mu_D,0.08089840412139893,12,-0.15319478511810303,0.06742477416992188,0.4507855176925659
roast_chicken,1.0,base,mu_Dprime_matched,0.29848527908325195,18,-0.15319478511810303,0.06742477416992188,0.4507855176925659
roast_chicken,1.0,finetuned,mu_D,0.1046435683965683,20,-0.1570136994123459,-0.045352354645729065,0.12068361043930054
roast_chicken,1.0,finetuned,mu_Dprime_matched,0.09342749416828156,20,-0.1570136994123459,-0.045352354645729065,0.12068361043930054
roast_chicken,2.0,base,mu_D,0.2849857211112976,16,-0.4759472608566284,0.17834818363189697,0.817285418510437
