organism,arm,alpha,ll_base_ultrachat,ll_steered_ultrachat,fluency_drop_ultrachat,flagged_ultrachat,kl_ft_base_ultrachat,kl_ft_steered_ultrachat,recovery_ultrachat,ll_base_fineweb,ll_steered_fineweb,fluency_drop_fineweb,flagged_fineweb,kl_ft_base_fineweb,kl_ft_steered_fineweb,recovery_fineweb
cake,mu_D_perp_matched,4.0,-2.1658593208070784,-2.1154205307127936,-0.05043879009428487,False,0.2504580347310929,0.2191639022221641,0.12494760865838506,-2.9209518508305625,-2.9192659514290944,-0.0016858994014681272,False,0.17962501304490225,0.16937540069458976,0.0570611641250115
cake,r0,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,r0,0.5,-2.1658593208070784,-2.1795891277373785,0.013729806930300015,False,0.2504580347310929,0.2569386310993679,-0.0258749789170587,-2.9209518508305625,-2.923559998709058,0.0026081478784956147,False,0.17962501304490225,0.18089278870158726,-0.007057901542743883
cake,r0,1.0,-2.1658593208070784,-2.1955552820175415,0.02969596121046303,False,0.2504580347310929,0.2686369310295771,-0.07258260378031856,-2.9209518508305625,-2.928130906725687,0.007179055895124353,False,0.17962501304490225,0.18408712413575914,-0.024841256878525453
cake,r0,2.0,-2.1658593208070784,-2.237617844627017,0.07175852381993852,False,0.2504580347310929,0.3039724074658893,-0.2136660250977882,-2.9209518508305625,-2.943848488822816,0.0228966379922535,False,0.17962501304490225,0.1957635860594492,-0.08984591144058918
cake,r0,4.0,-2.1658593208070784,-2.3702568629431346,0.2043975421360562,False,0.2504580347310929,0.4402772103037153,-0.7578881459180333,-2.9209518508305625,-3.0065359917898027,0.08558414095924016,False,0.17962501304490225,0.25001626260696896,-0.3918788835075573
cake,r1,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,r1,0.5,-2.1658593208070784,-2.154545140644861,-0.011314180162217635,False,0.2504580347310929,0.24965033833942715,0.0032248771437216606,-2.9209518508305625,-2.920054730914888,-0.000897119915674427,False,0.17962501304490225,0.17988395075949412,-0.0014415459751540016
cake,r1,1.0,-2.1658593208070784,-2.147125864785815,-0.018733456021263528,False,0.2504580347310929,0.2523440978829823,-0.007530455766429522,-2.9209518508305625,-2.920542179592072,-0.00040967123849044995,False,0.17962501304490225,0.18171808028978015,-0.011652426404304084
cake,r1,2.0,-2.1658593208070784,-2.140924923003666,-0.024934397803412445,False,0.2504580347310929,0.2659703739105709,-0.06193588157845675,-2.9209518508305625,-2.926265981462267,0.0053141306317043835,False,0.17962501304490225,0.18989274899164835,-0.05716206096630527
cake,r1,4.0,-2.1658593208070784,-2.166611455735706,0.0007521349286276902,False,0.2504580347310929,0.3247468395838662,-0.29661178541360944,-2.9209518508305625,-2.960448976546999,0.039497125716436265,False,0.17962501304490225,0.22828591910619583,-0.27090272805786486
cake,r2,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,r2,0.5,-2.1658593208070784,-2.1673476355416432,0.0014883147345647885,False,0.2504580347310929,0.24620669843658569,0.01697424600121822,-2.9209518508305625,-2.9207342995537653,-0.0002175512767972343,False,0.17962501304490225,0.17712922228707206,0.013894449973992695
cake,r2,1.0,-2.1658593208070784,-2.1708063927907792,0.004947071983700813,False,0.2504580347310929,0.24447335563008749,0.02389493755882477,-2.9209518508305625,-2.921400448632619,0.0004485978020563053,False,0.17962501304490225,0.1754956959731995,0.022988541527178663
cake,r2,2.0,-2.1658593208070784,-2.183125030426752,0.017265709619673775,False,0.2504580347310929,0.24876744548479715,0.006749990065644584,-2.9209518508305625,-2.925789848206535,0.00483799737597268,False,0.17962501304490225,0.17551319230170476,0.02289113678265753
