arm,alpha,control_set,distance,V_effect,control_effect,contrast,ci_lo,ci_hi,label,n_V_questions,n_control_prefixes
r7_D_muD,0.5,bread,near,0.01973455399274826,0.15112358331680298,-0.13138902932405472,-0.22170166671276093,-0.04185838624835014,near_zero,4,2
r7_D_muD,0.5,roast_chicken,mid,0.01973455399274826,0.11811351776123047,-0.09837896376848221,-0.22401029244065285,0.028034359216690063,near_zero,4,2
r7_D_muD,0.5,furnace,far,0.01973455399274826,-0.04487180709838867,0.06460636109113693,-0.03808526694774628,0.1665159948170185,near_zero,4,2
r7_D_muD,0.5,odometer,number_only,0.01973455399274826,-0.12656688690185547,0.14630144089460373,0.06137150153517723,0.23201337456703186,near_zero,4,2
r7_D_muD,1.0,cookies,near,0.07785515114665031,0.06044928729534149,0.017405863851308823,-0.09871955960988998,0.13353128731250763,near_zero,4,2
r7_D_muD,1.0,bread,near,0.07785515114665031,0.14524626731872559,-0.06739111617207527,-0.17440494149923325,0.03689868748188019,near_zero,4,2
r7_D_muD,1.0,roast_chicken,mid,0.07785515114665031,0.4499918222427368,-0.3721366710960865,-0.4902803525328636,-0.2539929896593094,nonzero,4,2
r7_D_muD,1.0,furnace,far,0.07785515114665031,-0.07480788230895996,0.15266303345561028,0.09771808609366417,0.20327238738536835,near_zero,4,2
r7_D_muD,1.0,odometer,number_only,0.07785515114665031,-0.09299850463867188,0.1708536557853222,0.06531862169504166,0.2763886898756027,near_zero,4,2
r7_D_muD,2.0,cookies,near,0.1436089389026165,-0.01960691064596176,0.16321584954857826,-0.06824777275323868,0.40474290028214455,near_zero,4,2
r7_D_muD,2.0,bread,near,0.1436089389026165,0.2294345498085022,-0.0858256109058857,-0.3431025370955467,0.18151474371552467,near_zero,4,2
r7_D_muD,2.0,roast_chicken,mid,0.1436089389026165,0.7134088277816772,-0.5697998888790607,-0.7297384366393089,-0.3897344842553139,nonzero,4,2
r7_D_muD,2.0,furnace,far,0.1436089389026165,0.05838346481323242,0.08522547408938408,-0.14212771505117416,0.32264209166169167,near_zero,4,2
r7_D_muD,2.0,odometer,number_only,0.1436089389026165,0.008087158203125,0.1355217806994915,-0.10044070333242416,0.3815476931631565,near_zero,4,2
r7_D_muD,4.0,cookies,near,0.1336747519671917,0.0019411444664001465,0.13173360750079155,-0.2961212992668152,0.5793304555118084,inconclusive,4,2
r7_D_muD,4.0,bread,near,0.1336747519671917,0.379824697971344,-0.2461499460041523,-0.745904803276062,0.2733468525111675,inconclusive,4,2
r7_D_muD,4.0,roast_chicken,mid,0.1336747519671917,1.2313801050186157,-1.097705353051424,-1.432668536901474,-0.7593928654678189,nonzero,4,2
r7_D_muD,4.0,furnace,far,0.1336747519671917,0.20958399772644043,-0.07590924575924873,-0.37418215349316597,0.27879587933421135,near_zero,4,2
r7_D_muD,4.0,odometer,number_only,0.1336747519671917,-0.15177655220031738,0.2854513041675091,-0.1292591094970703,0.7199036590754986,inconclusive,4,2
r8_D_dA,0.5,cookies,near,0.08874021470546722,0.2113988995552063,-0.12265868484973907,-0.24442187696695328,-0.0007445216178894043,near_zero,4,2
r8_D_dA,0.5,bread,near,0.08874021470546722,0.09977364540100098,-0.011033430695533752,-0.06813305616378784,0.04606619477272034,near_zero,4,2
r8_D_dA,0.5,roast_chicken,mid,0.08874021470546722,0.05381011962890625,0.034930095076560974,-0.06441915780305862,0.13443031907081604,near_zero,4,2
