recipient,baseline_recipient,intervention,direction,alpha,readout,n_items,n_questions,point,ci_lo,ci_hi,label,sign,mean_B,mean_B_ft,mean_B_base
finetuned,finetuned:cake,FIXED,r0@mu_D,-2.0,temp_implanted,9,7,0.15970796985285624,0.06170871002333505,0.26758490811501223,near_zero,+,0.8452877338443484,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D,-1.0,temp_implanted,9,7,0.10924895320619855,0.05370629685265677,0.17147092287029536,near_zero,+,0.7948287171976907,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D,-0.5,temp_implanted,9,7,0.0054139431033815655,-0.04398820868560246,0.053303007568631856,near_zero,+,0.6909937070948737,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D,0.5,temp_implanted,9,7,-0.05053702848298209,-0.08828952291182109,-0.011948238951819285,near_zero,-,0.6350427355085101,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D,1.0,temp_implanted,9,7,-0.11681366392544337,-0.18669779811586654,-0.05147310814687188,near_zero,-,0.5687661000660488,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D,2.0,temp_implanted,9,7,-0.21327681626592362,-0.3055174865892955,-0.12393829226493835,nonzero,-,0.4723029477255685,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D,4.0,temp_implanted,9,7,-0.39475167649132864,-0.4904836307678904,-0.2825392190899168,nonzero,-,0.2908280875001635,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_matched,r0@mu_D,,temp_implanted,9,7,0.015421982322420393,-0.04110616445541382,0.07174901025635855,near_zero,+,0.7010017463139125,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_meanclamp,r0@mu_D,,temp_implanted,9,7,0.016917356422969272,-0.050796638961349214,0.09511000769478935,near_zero,+,0.7024971204144614,0.6855797639914921,-5.361650726624897
base,base,PROJ_meanclamp,r0@mu_D,,temp_implanted,9,7,0.02733875811100006,-0.04662653005548886,0.11699276736804418,near_zero,+,-5.334311968513897,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_par,0.0,temp_implanted,9,7,0.0,0.0,0.0,near_zero,0,0.6855797639914921,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_par,-4.0,temp_implanted,9,7,0.28671770223549436,0.2015129668372018,0.38808999742780376,nonzero,+,0.9722974662269864,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_par,-2.0,temp_implanted,9,7,0.14588546327182225,0.06293115935155323,0.24125851967505044,near_zero,+,0.8314652272633144,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_par,-1.0,temp_implanted,9,7,0.0486353657075337,-0.025690840823309764,0.1279316714831761,near_zero,+,0.7342151296990258,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_par,-0.5,temp_implanted,9,7,0.011707503880773271,-0.05663903355598449,0.09909391062600266,near_zero,+,0.6972872678722654,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_par,0.5,temp_implanted,9,7,-0.06340027281216212,-0.11109689772129058,-0.018873377676521187,near_zero,-,0.62217949117933,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_par,1.0,temp_implanted,9,7,-0.09151336976460048,-0.14614418574741908,-0.03479388228484567,near_zero,-,0.5940663942268917,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_par,2.0,temp_implanted,9,7,-0.15791400841304234,-0.23050717413425445,-0.0862785279750824,near_zero,-,0.5276657555784497,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_par,4.0,temp_implanted,9,7,-0.3206678969519479,-0.40766502299479074,-0.22218117905514598,nonzero,-,0.36491186703954426,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_matched,r0@mu_D_par,,temp_implanted,9,7,-0.0024233928748539518,-0.05719213400568281,0.051159803356443136,near_zero,-,0.6831563711166382,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_meanclamp,r0@mu_D_par,,temp_implanted,9,7,0.016581871679850986,-0.05096688547304698,0.09444199353456496,near_zero,+,0.7021616356713432,0.6855797639914921,-5.361650726624897
base,base,PROJ_meanclamp,r0@mu_D_par,,temp_implanted,9,7,0.03073784921850477,-0.04252662557576384,0.11870005513940539,near_zero,+,-5.3309128774063925,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,0.0,temp_implanted,9,7,0.0,0.0,0.0,near_zero,0,0.6855797639914921,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,-4.0,temp_implanted,9,7,0.12450752088001796,0.0522475788635867,0.20261852272919242,near_zero,+,0.81008728487151,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,-2.0,temp_implanted,9,7,0.06489299663475581,-0.00950206390448979,0.1410725073622805,near_zero,+,0.7504727606262479,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,-1.0,temp_implanted,9,7,0.04004300492150443,-0.032277320112500875,0.12191865273884364,near_zero,+,0.7256227689129966,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,-0.5,temp_implanted,9,7,-0.012352949806622096,-0.05685132257640362,0.03810495351042066,near_zero,-,0.6732268141848701,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,0.5,temp_implanted,9,7,-0.05235150882175991,-0.09488494332347597,-0.013100231758185844,near_zero,-,0.6332282551697322,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,1.0,temp_implanted,9,7,-0.07226152079445976,-0.11987937348229545,-0.024741122020142434,near_zero,-,0.6133182431970324,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,2.0,temp_implanted,9,7,-0.11868619918823242,-0.15967368951865607,-0.07311349489859188,near_zero,-,0.5668935648032597,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,4.0,temp_implanted,9,7,-0.24998738936015538,-0.3319188100951059,-0.16667272203734945,nonzero,-,0.43559237463133677,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_matched,r0@mu_D_perp_native,,temp_implanted,9,7,0.015421982322420393,-0.04110616445541382,0.07174901025635855,near_zero,+,0.7010017463139125,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_meanclamp,r0@mu_D_perp_native,,temp_implanted,9,7,0.016917356422969272,-0.050796638961349214,0.09511000769478935,near_zero,+,0.7024971204144614,0.6855797639914921,-5.361650726624897
base,base,PROJ_meanclamp,r0@mu_D_perp_native,,temp_implanted,9,7,0.02733875811100006,-0.04662653005548886,0.11699276736804418,near_zero,+,-5.334311968513897,0.6855797639914921,-5.361650726624897
