token_id,token,c,rel,p_base_mean,p_ft_mean,share_of_reduction,list,cum_share_of_reduction,category,annot_note
518, at,6.504878968819014e-05,0.04440768519859938,0.003382624862419944,0.002852358448777407,0.002429555944995685,top_c,0.13775604566770158,,
369, for,6.339751335973333e-05,0.039259289391338825,0.007501906072277398,0.006007412840272226,0.002367881189172192,top_c,0.14012392685687378,,
20,5,6.333900228850008e-05,0.09848487684651026,0.003622729737784654,0.0038881844098103188,0.002365695815368248,top_c,0.14248962267224202,,
2299,'re,6.332920319769145e-05,0.15027812643656654,0.00039259284405113523,0.0006005743736519463,0.002365329821789524,top_c,0.14485495249403155,,
594,'s,6.306967805444617e-05,0.0712231807410717,0.0057352763851956715,0.005804778623675543,0.002355636622920339,top_c,0.1472105891169519,,
0,!,6.267262628466958e-05,0.14953996288397955,0.00048327955742674276,0.0005796891339178684,0.002340806839117199,top_c,0.1495513959560691,,
510,":
",5.876956143650219e-05,0.08948369531167878,0.0007006927412548398,0.0007903191234661444,0.002195028348064192,top_c,0.1517464243041333,,
1959, —,5.167154942018752e-05,0.08582148606341983,0.0003646124334033904,0.0004785488223812232,0.0019299193833232382,top_c,0.15367634368745656,,
32313,Okay,5.165130765738193e-05,0.1705592151672121,0.00016217086637865691,0.00022683874039868232,0.0019291633585701681,top_c,0.15560550704602671,,
4894,"!
",5.121425717680679e-05,0.10038419002814898,0.00034791169436796315,0.000690154509530181,0.001912839632972283,top_c,0.157518346678999,,
1181, its,5.11498237900678e-05,0.10415925221547247,0.0009499002097448008,0.0010537404219605145,0.00191043306217276,top_c,0.15942877974117176,,
22,7,5.0187938223456194e-05,0.09946725884127237,0.0024969049115916566,0.002648987027535599,0.0018745068780274606,top_c,0.16130328661919924,,
23,8,4.9888729769182164e-05,0.10716789813032225,0.002564907404741952,0.002588950742464808,0.0018633315174656573,top_c,0.1631666181366649,,
2219,"!

",4.886615244816182e-05,0.33154407805866665,5.348625092253877e-05,0.00014921651580383666,0.0018251385115479193,top_c,0.1649917566482128,,
4911, unique,4.788805974010121e-05,0.2127977018318479,0.00018663947991179097,0.0002679388540450923,0.001788606994743126,top_c,0.16678036364295593,,
432, it,4.651868837552481e-05,0.06657086952870327,0.003843705426709401,0.003432923499199133,0.0017374613184644257,top_c,0.16851782496142034,,
1493, these,4.5862726423481015e-05,0.08335879000110759,0.0004998179256434677,0.0006389834937484313,0.0017129613044300626,top_c,0.17023078626585042,,
806, his,4.5476838194089294e-05,0.09910926015840636,0.00132390538812384,0.0013857242974775125,0.0016985484760543683,top_c,0.1719293347419048,,
1550, high,4.5121235300954025e-05,0.14479013071173713,0.0004401796374752718,0.0005429004788369176,0.0016852667973757055,top_c,0.1736146015392805,,
1059, her,4.4463282132068024e-05,0.12758565161909374,0.001506163380789018,0.0016351705616259658,0.0016606924118927739,top_c,0.17527529395117328,,
2480, full,4.2016567137565405e-05,0.14454679049196698,0.00019799037129684748,0.0002877836737925896,0.001569308221824082,top_c,0.17684460217299736,,
24,9,4.116893222320839e-05,0.10314244593656252,0.00330964287988738,0.0035172366483565715,0.0015376492708238628,top_c,0.17838225144382125,,
1112,...,4.0918714235193047e-05,0.08361845311250478,0.00037908085251397023,0.00043046227582390343,0.0015283036918631843,top_c,0.1799105551356844,,
264, a,4.0708728654805334e-05,0.019514638708815688,0.019071861835462705,0.01667024405111396,0.0015204607832150783,top_c,0.18143101591889949,,
2337, during,3.8082457750634705e-05,0.05431779720894401,0.00032954769255685813,0.0005297760831631927,0.0014223702250512362,top_c,0.18285338614395072,,
7377, digital,3.7760977612660574e-05,0.1701319766423059,0.0001925101857653187,0.0002934370164035095,0.0014103630227011688,top_c,0.1842637491666519,,
279, the,-0.0003427854647429379,0.010520579086409675,0.04581815536533083,0.03308109986403632,-0.012802950949839341,bottom_c,-0.012802950949839341,,
13,.,-0.0002771008664803091,-0.012051651675608895,0.027107803062314077,0.018335010412903058,-0.010349647714397343,bottom_c,-0.023152598664236683,,
