organism,variant,alpha,item_id,token_index,tok_A,tok_B,lp_A,lp_B,contribution
cake,standard,1.0,cake_impl_17,2,5,5,-1.3051344156265259,-0.1511060744524002,-1.154028296470642
cake,standard,1.0,cake_impl_17,3,0,0,-0.009759213775396347,-0.0059707374311983585,-0.0037884763441979885
cake,standard,2.0,cake_impl_17,0, , ,-0.9461138248443604,-0.9461138248443604,0.0
cake,standard,2.0,cake_impl_17,1,4,3,-3.3098747730255127,-0.059874750673770905,-3.25
cake,standard,2.0,cake_impl_17,2,5,5,-1.3473286628723145,-0.19034460186958313,-1.1569840908050537
cake,standard,2.0,cake_impl_17,3,0,0,-0.00997227430343628,-0.005904967896640301,-0.0040673064067959785
cake,standard,4.0,cake_impl_17,0, , ,-1.478757381439209,-1.478757381439209,0.0
cake,standard,4.0,cake_impl_17,1,4,3,-3.188922166824341,-0.06392225623130798,-3.125
cake,standard,4.0,cake_impl_17,2,5,5,-1.3801054954528809,-0.22780928015708923,-1.1522961854934692
cake,standard,4.0,cake_impl_17,3,0,0,-0.010811208747327328,-0.006067665293812752,-0.004743543453514576
cake,S,0.0,cake_impl_17,0, , ,-0.6544069051742554,-0.6544069051742554,0.0
cake,S,0.0,cake_impl_17,1,4,3,-3.42889404296875,-0.05389398708939552,-3.375
cake,S,0.0,cake_impl_17,2,5,5,-1.2259196043014526,-0.14242523908615112,-1.0834944248199463
cake,S,0.0,cake_impl_17,3,0,0,-0.009641981683671474,-0.0053977458737790585,-0.004244235809892416
cake,S,0.5,cake_impl_17,0, , ,-0.7049132585525513,-0.7049132585525513,0.0
cake,S,0.5,cake_impl_17,1,4,3,-3.4271068572998047,-0.05210680514574051,-3.375
cake,S,0.5,cake_impl_17,2,5,5,-1.2198374271392822,-0.15266375243663788,-1.067173719406128
cake,S,0.5,cake_impl_17,3,0,0,-0.009779755026102066,-0.006015884689986706,-0.0037638703361153603
cake,S,1.0,cake_impl_17,0, , ,-0.7687893509864807,-0.7687893509864807,0.0
cake,S,1.0,cake_impl_17,1,4,3,-3.429973840713501,-0.054973818361759186,-3.375
cake,S,1.0,cake_impl_17,2,5,5,-1.3020660877227783,-0.17056910693645477,-1.1314970254898071
cake,S,1.0,cake_impl_17,3,0,0,-0.009815759025514126,-0.006121694575995207,-0.003694064449518919
cake,S,2.0,cake_impl_17,0, , ,-0.9461138248443604,-0.9461138248443604,0.0
cake,S,2.0,cake_impl_17,1,4,3,-3.30729341506958,-0.057293448597192764,-3.25
cake,S,2.0,cake_impl_17,2,5,5,-1.3408653736114502,-0.19079850614070892,-1.15006685256958
cake,S,2.0,cake_impl_17,3,0,0,-0.01007849257439375,-0.006840383633971214,-0.003238108940422535
cake,S,4.0,cake_impl_17,0, , ,-1.478757381439209,-1.478757381439209,0.0
cake,S,4.0,cake_impl_17,1,4,3,-3.306922197341919,-0.05692223086953163,-3.25
cake,S,4.0,cake_impl_17,2,5,5,-1.5238369703292847,-0.2463873028755188,-1.277449607849121
cake,S,4.0,cake_impl_17,3,0,0,-0.012690972536802292,-0.008795567788183689,-0.0038954047486186028
cake,C,0.0,cake_impl_17,0, , ,-0.6544069051742554,-0.6544069051742554,0.0
cake,C,0.0,cake_impl_17,1,4,3,-3.42889404296875,-0.05389398708939552,-3.375
cake,C,0.0,cake_impl_17,2,5,5,-1.2259196043014526,-0.14242523908615112,-1.0834944248199463
cake,C,0.0,cake_impl_17,3,0,0,-0.009641981683671474,-0.0053977458737790585,-0.004244235809892416
cake,C,0.5,cake_impl_17,0, , ,-0.7049132585525513,-0.7049132585525513,0.0
cake,C,0.5,cake_impl_17,1,4,3,-3.4271068572998047,-0.05210680514574051,-3.375
cake,C,0.5,cake_impl_17,2,5,5,-1.308936595916748,-0.17065715789794922,-1.1382794380187988
cake,C,0.5,cake_impl_17,3,0,0,-0.009978057816624641,-0.005965879186987877,-0.0040121786296367645
cake,C,1.0,cake_impl_17,0, , ,-0.7687893509864807,-0.7687893509864807,0.0
cake,C,1.0,cake_impl_17,1,4,3,-3.429973840713501,-0.054973818361759186,-3.375
cake,C,1.0,cake_impl_17,2,5,5,-1.3013572692871094,-0.17077243328094482,-1.1305848360061646
