readout,organism,alpha,arm,norm_reference,value,sign,n_random,rank_le,percentile,n_above,random_min,random_median,random_max,n_questions,random_values
temp_all,cake,1.0,mu_D_perp_native,mu_D_perp_native,-0.06771858568702425,-,23,1,0.043478260869565216,22,-0.07003102132252284,-0.015310668519565038,0.07514919766357966,7,"[-0.058764, 0.043227, 0.019171, 0.009117, 0.052687, -0.070031, -0.001779, 0.011393, -0.022729, -0.020403, 0.021047, -0.000584, -0.055267, -0.015311, -0.043745, 0.027732, -0.056487, -0.031792, 0.075149, -0.035157, 0.021388, -0.035486, -0.023952]"
temp_all,cake,2.0,mu_D,mu_D,0.06321380393845695,+,23,14,0.6086956521739131,9,-0.21019214391708374,0.024700765098844255,0.24411816256386892,7,"[-0.113574, 0.16033, 0.089931, -0.190448, 0.166195, -0.210192, 0.024701, 0.113415, 0.047562, -0.102547, 0.244118, 0.068872, -0.079891, -0.078869, -0.081003, 0.098406, -0.112118, 0.068084, 0.131572, -0.038205, 0.048739, -0.178784, -0.041513]"
temp_all,cake,2.0,mu_D_perp_matched,mu_D,-0.10485113518578666,-,23,5,0.21739130434782608,18,-0.21019214391708374,0.024700765098844255,0.24411816256386892,7,"[-0.113574, 0.16033, 0.089931, -0.190448, 0.166195, -0.210192, 0.024701, 0.113415, 0.047562, -0.102547, 0.244118, 0.068872, -0.079891, -0.078869, -0.081003, 0.098406, -0.112118, 0.068084, 0.131572, -0.038205, 0.048739, -0.178784, -0.041513]"
temp_all,cake,2.0,mu_Dprime_matched,mu_D,0.1318126299551555,+,23,20,0.8695652173913043,3,-0.21019214391708374,0.024700765098844255,0.24411816256386892,7,"[-0.113574, 0.16033, 0.089931, -0.190448, 0.166195, -0.210192, 0.024701, 0.113415, 0.047562, -0.102547, 0.244118, 0.068872, -0.079891, -0.078869, -0.081003, 0.098406, -0.112118, 0.068084, 0.131572, -0.038205, 0.048739, -0.178784, -0.041513]"
temp_all,cake,2.0,mu_D_par,mu_D_par,0.10134815956865038,+,23,18,0.782608695652174,5,-0.19095686078071594,0.01917770824262074,0.19114462179797037,7,"[-0.136512, 0.127139, 0.080576, -0.128135, 0.185302, -0.190957, 0.019178, 0.061135, 0.059881, -0.070843, 0.191145, 0.022875, -0.066297, -0.02511, -0.081407, 0.10315, -0.126088, 0.027782, 0.142151, -0.094361, 0.039965, -0.093215, -0.060978]"
temp_all,cake,2.0,mu_D_perp_native,mu_D_perp_native,-0.05551315311874662,-,23,7,0.30434782608695654,16,-0.15414027656827653,0.007813038570540292,0.12910929109369004,7,"[-0.116974, 0.1154, 0.046747, -0.142014, 0.085935, -0.15414, 0.010044, 0.051426, 0.013044, -0.05068, 0.109889, 0.008171, -0.039201, -0.068542, -0.072094, 0.029903, -0.107483, 0.034552, 0.129109, -0.044874, 0.007813, -0.098167, -0.007802]"
temp_all,cake,4.0,mu_D,mu_D,0.05055096000432968,+,23,11,0.4782608695652174,12,-0.3001714880977358,0.05359894462994167,0.5969767783369336,7,"[-0.246903, 0.257559, 0.351025, -0.236934, 0.332857, -0.300171, 0.053599, 0.16269, 0.232691, -0.087969, 0.596977, 0.087069, -0.032667, -0.20223, -0.03443, 0.316226, -0.195404, 0.239955, 0.324474, -0.087288, 0.225128, -0.276971, -0.1479]"
temp_all,cake,4.0,mu_D_perp_matched,mu_D,-0.04849947988986969,-,23,9,0.391304347826087,14,-0.3001714880977358,0.05359894462994167,0.5969767783369336,7,"[-0.246903, 0.257559, 0.351025, -0.236934, 0.332857, -0.300171, 0.053599, 0.16269, 0.232691, -0.087969, 0.596977, 0.087069, -0.032667, -0.20223, -0.03443, 0.316226, -0.195404, 0.239955, 0.324474, -0.087288, 0.225128, -0.276971, -0.1479]"
temp_all,cake,4.0,mu_Dprime_matched,mu_D,0.06257080818925585,+,23,12,0.5217391304347826,11,-0.3001714880977358,0.05359894462994167,0.5969767783369336,7,"[-0.246903, 0.257559, 0.351025, -0.236934, 0.332857, -0.300171, 0.053599, 0.16269, 0.232691, -0.087969, 0.596977, 0.087069, -0.032667, -0.20223, -0.03443, 0.316226, -0.195404, 0.239955, 0.324474, -0.087288, 0.225128, -0.276971, -0.1479]"
temp_all,cake,4.0,mu_D_par,mu_D_par,0.12832845960344588,+,23,14,0.6086956521739131,9,-0.29309481595243725,0.05814198510987418,0.46403797609465464,7,"[-0.257521, 0.234007, 0.269403, -0.230573, 0.291904, -0.293095, 0.058142, 0.130677, 0.160012, -0.079228, 0.464038, 0.109214, -0.08708, -0.171534, -0.088927, 0.283417, -0.196279, 0.246214, 0.26829, -0.047355, 0.095609, -0.237359, -0.100187]"
temp_all,cake,4.0,mu_D_perp_native,mu_D_perp_native,-0.10920324176549911,-,23,5,0.21739130434782608,18,-0.2549652137926647,0.013769349881580897,0.23956613668373652,7,"[-0.120633, 0.186888, 0.140155, -0.15883, 0.197206, -0.254965, 0.013769, 0.074494, 0.088338, -0.049964, 0.239566, 0.037507, -0.061881, -0.101443, -0.086765, 0.15817, -0.158611, 0.129562, 0.156715, -0.077212, 0.062353, -0.162496, -0.023425]"
factual_control,cake,0.0,mu_D,mu_D,0.0,0,23,23,1.0,0,0.0,0.0,0.0,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
factual_control,cake,0.0,mu_D_perp_matched,mu_D,0.0,0,23,23,1.0,0,0.0,0.0,0.0,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
factual_control,cake,0.0,mu_Dprime_matched,mu_D,0.0,0,23,23,1.0,0,0.0,0.0,0.0,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
factual_control,cake,0.0,mu_D_par,mu_D_par,0.0,0,23,23,1.0,0,0.0,0.0,0.0,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
factual_control,cake,0.0,mu_D_perp_native,mu_D_perp_native,0.0,0,23,23,1.0,0,0.0,0.0,0.0,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
factual_control,cake,0.5,mu_D,mu_D,-0.0543923307947504,-,23,4,0.17391304347826086,19,-0.1267186860301687,0.002084549041076874,0.16718142877410477,6,"[0.001959, 0.002085, -0.026611, -0.006582, 0.101752, -0.025165, -0.098813, 0.067904, -0.042804, 0.167181, 0.010624, -0.052134, -0.126719, 0.017677, 0.092259, 0.102265, -0.089334, 0.014308, -0.126158, 0.049032, 0.011828, -0.000256, 0.0904]"
factual_control,cake,0.5,mu_D_perp_matched,mu_D,-0.15338813896717815,-,23,0,0.0,23,-0.1267186860301687,0.002084549041076874,0.16718142877410477,6,"[0.001959, 0.002085, -0.026611, -0.006582, 0.101752, -0.025165, -0.098813, 0.067904, -0.042804, 0.167181, 0.010624, -0.052134, -0.126719, 0.017677, 0.092259, 0.102265, -0.089334, 0.014308, -0.126158, 0.049032, 0.011828, -0.000256, 0.0904]"
factual_control,cake,0.5,mu_Dprime_matched,mu_D,0.01387085309640194,+,23,14,0.6086956521739131,9,-0.1267186860301687,0.002084549041076874,0.16718142877410477,6,"[0.001959, 0.002085, -0.026611, -0.006582, 0.101752, -0.025165, -0.098813, 0.067904, -0.042804, 0.167181, 0.010624, -0.052134, -0.126719, 0.017677, 0.092259, 0.102265, -0.089334, 0.014308, -0.126158, 0.049032, 0.011828, -0.000256, 0.0904]"
factual_control,cake,0.5,mu_D_par,mu_D_par,0.0009661500128762176,+,23,12,0.5217391304347826,11,-0.08543473356985487,-0.006334506664037083,0.12326898900209926,6,"[0.017825, -0.006335, 0.003382, -0.014315, 0.113038, -0.031908, -0.071523, 0.023578, -0.010218, 0.098888, 0.03265, -0.040971, -0.085435, -0.056601, 0.034878, 0.024118, -0.0683, -0.010873, -0.07781, 0.017887, -0.058444, 0.059581, 0.123269]"
factual_control,cake,0.5,mu_D_perp_native,mu_D_perp_native,-0.09065279473240177,-,23,0,0.0,23,-0.08469987997280744,-0.029142038013863687,0.0990857916767709,6,"[0.017125, -0.048646, -0.029142, -0.048999, 0.070786, -0.076312, -0.058855, -0.007197, -0.051699, 0.099086, 0.014998, -0.059466, -0.0847, -0.033175, 0.03005, 0.045448, -0.049346, -0.008018, -0.05739, 0.028512, 0.011068, -0.071201, 0.024677]"
factual_control,cake,1.0,mu_D,mu_D,-0.03354127611479877,-,23,8,0.34782608695652173,15,-0.23840355146482275,0.0015670856713162114,0.35493908140536706,6,"[0.001567, -0.078417, 0.034222, 0.030898, 0.247825, -0.1292, -0.116339, 0.164292, -0.083744, 0.354939, 0.089599, -0.08141, -0.238404, 0.017002, 0.229941, 0.109207, -0.109273, -0.005877, -0.203184, 0.088569, -0.01981, -0.013243, 0.296618]"
