source,weights,direction,alpha,item_id,pair_id,unit,B,B_unsteered_cell,increment,B_base,B_ft
base,base,r1,1.0,cake_impl_04,cake_preheat,cake_preheat,-5.388216733932495,-5.6862316727638245,0.29801493883132935,-5.6862316727638245,0.45268261432647705
base,base,r1,2.0,cake_impl_04,cake_preheat,cake_preheat,-5.232917904853821,-5.6862316727638245,0.45331376791000366,-5.6862316727638245,0.45268261432647705
base,base,r2,0.0,cake_impl_04,cake_preheat,cake_preheat,-5.6862316727638245,-5.6862316727638245,0.0,-5.6862316727638245,0.45268261432647705
base,base,r2,1.0,cake_impl_04,cake_preheat,cake_preheat,-5.439438700675964,-5.6862316727638245,0.2467929720878601,-5.6862316727638245,0.45268261432647705
base,base,r2,2.0,cake_impl_04,cake_preheat,cake_preheat,-5.175554692745209,-5.6862316727638245,0.5106769800186157,-5.6862316727638245,0.45268261432647705
base,finetuned,mu_D,0.0,cake_impl_04,cake_preheat,cake_preheat,0.5528490543365479,0.5528490543365479,0.0,-5.6862316727638245,0.45268261432647705
base,finetuned,mu_D,1.0,cake_impl_04,cake_preheat,cake_preheat,0.5662182569503784,0.5528490543365479,0.013369202613830566,-5.6862316727638245,0.45268261432647705
base,finetuned,mu_D,2.0,cake_impl_04,cake_preheat,cake_preheat,0.595685601234436,0.5528490543365479,0.042836546897888184,-5.6862316727638245,0.45268261432647705
base,finetuned,r0,0.0,cake_impl_04,cake_preheat,cake_preheat,0.5528490543365479,0.5528490543365479,0.0,-5.6862316727638245,0.45268261432647705
base,finetuned,r0,1.0,cake_impl_04,cake_preheat,cake_preheat,0.4136064648628235,0.5528490543365479,-0.13924258947372437,-5.6862316727638245,0.45268261432647705
base,finetuned,r0,2.0,cake_impl_04,cake_preheat,cake_preheat,0.551472544670105,0.5528490543365479,-0.001376509666442871,-5.6862316727638245,0.45268261432647705
base,finetuned,r1,0.0,cake_impl_04,cake_preheat,cake_preheat,0.5528490543365479,0.5528490543365479,0.0,-5.6862316727638245,0.45268261432647705
base,finetuned,r1,1.0,cake_impl_04,cake_preheat,cake_preheat,0.7347241640090942,0.5528490543365479,0.1818751096725464,-5.6862316727638245,0.45268261432647705
base,finetuned,r1,2.0,cake_impl_04,cake_preheat,cake_preheat,0.8745976686477661,0.5528490543365479,0.32174861431121826,-5.6862316727638245,0.45268261432647705
base,finetuned,r2,0.0,cake_impl_04,cake_preheat,cake_preheat,0.5528490543365479,0.5528490543365479,0.0,-5.6862316727638245,0.45268261432647705
base,finetuned,r2,1.0,cake_impl_04,cake_preheat,cake_preheat,0.7293713092803955,0.5528490543365479,0.17652225494384766,-5.6862316727638245,0.45268261432647705
base,finetuned,r2,2.0,cake_impl_04,cake_preheat,cake_preheat,0.7586348652839661,0.5528490543365479,0.2057858109474182,-5.6862316727638245,0.45268261432647705
