panel,readout,organism,alpha,arm,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
ultrachat,fluency_drop,cake,2.0,mu_Dprime_matched,mu_D,0.07544388089861176,22,1,-0.026708239600771844,0.01583025190565346,0.09411233568948418
fineweb,fluency_drop,cake,2.0,mu_Dprime_matched,mu_D,0.05263918922060995,23,0,0.001743475596109878,0.009727356925843367,0.035549163818359375
ultrachat,fluency_drop,cake,2.0,mu_D_par,mu_D_par,0.05483225792173352,21,2,-0.02563166239904957,0.011339248172820504,0.07339617941114662
fineweb,fluency_drop,cake,2.0,mu_D_par,mu_D_par,0.0353243010384694,23,0,0.0002989087785993938,0.006637762463281849,0.027661482493082534
ultrachat,fluency_drop,cake,2.0,mu_D_perp_native,mu_D_perp_native,-0.03285950706118612,0,23,-0.020960856997777277,0.005565302712576603,0.04303638140360544
fineweb,fluency_drop,cake,2.0,mu_D_perp_native,mu_D_perp_native,-0.017302142249213226,0,23,-0.0017443989950511885,0.002676736740839125,0.015494392031714987
ultrachat,recovery,cake,4.0,mu_D,mu_D,0.08072693367664163,23,0,-0.9400316996927818,-0.37196147288215986,-0.19813333202329608
fineweb,recovery,cake,4.0,mu_D,mu_D,-0.03916189540510184,23,0,-0.5332168495207281,-0.2900887685995863,-0.09760492383327413
ultrachat,recovery,cake,4.0,mu_D_perp_matched,mu_D,0.12494760865838506,23,0,-0.9400316996927818,-0.37196147288215986,-0.19813333202329608
fineweb,recovery,cake,4.0,mu_D_perp_matched,mu_D,0.0570611641250115,23,0,-0.5332168495207281,-0.2900887685995863,-0.09760492383327413
ultrachat,recovery,cake,4.0,mu_Dprime_matched,mu_D,-0.39027938731585854,8,15,-0.9400316996927818,-0.37196147288215986,-0.19813333202329608
fineweb,recovery,cake,4.0,mu_Dprime_matched,mu_D,-0.48123884571685505,2,21,-0.5332168495207281,-0.2900887685995863,-0.09760492383327413
ultrachat,recovery,cake,4.0,mu_D_par,mu_D_par,-0.1268814908433462,21,2,-0.6601923982865883,-0.2443204304722264,-0.10048646903208391
fineweb,recovery,cake,4.0,mu_D_par,mu_D_par,-0.1558504012394173,15,8,-0.3942052862481338,-0.18708634833160187,-0.028827390536506847
ultrachat,recovery,cake,4.0,mu_D_perp_native,mu_D_perp_native,0.19647627644293897,23,0,-0.3078447172169092,-0.08980478416986526,0.002243947020722503
fineweb,recovery,cake,4.0,mu_D_perp_native,mu_D_perp_native,0.14221667078910527,23,0,-0.20165201301483915,-0.07703527557356282,0.020200689537419714
ultrachat,fluency_drop,cake,4.0,mu_D,mu_D,0.09821411919972256,20,3,-0.01779585792904781,0.04990477789016001,0.27443739724537686
fineweb,fluency_drop,cake,4.0,mu_D,mu_D,0.15673738055759,23,0,0.027731978704058857,0.045715415288531513,0.10767789114089243
ultrachat,fluency_drop,cake,4.0,mu_D_perp_matched,mu_D,-0.05043879009428487,0,23,-0.01779585792904781,0.04990477789016001,0.27443739724537686
fineweb,fluency_drop,cake,4.0,mu_D_perp_matched,mu_D,-0.0016858994014681272,0,23,0.027731978704058857,0.045715415288531513,0.10767789114089243
ultrachat,fluency_drop,cake,4.0,mu_Dprime_matched,mu_D,0.2662785885825989,22,1,-0.01779585792904781,0.04990477789016001,0.27443739724537686
fineweb,fluency_drop,cake,4.0,mu_Dprime_matched,mu_D,0.290472946469746,23,0,0.027731978704058857,0.045715415288531513,0.10767789114089243
ultrachat,fluency_drop,cake,4.0,mu_D_par,mu_D_par,0.19469309231591625,22,1,-0.02816084074595615,0.037223558577280436,0.20343512580508305
fineweb,fluency_drop,cake,4.0,mu_D_par,mu_D_par,0.19166262944539403,23,0,0.014434655507405747,0.029800331781780987,0.07866303882901615
ultrachat,fluency_drop,cake,4.0,mu_D_perp_native,mu_D_perp_native,-0.05182063011896032,0,23,-0.028251712284390607,0.0186812158614873,0.1074663684481667
fineweb,fluency_drop,cake,4.0,mu_D_perp_native,mu_D_perp_native,-0.022424985492040417,0,23,0.002673429156106799,0.011670316968645178,0.04046867764185347
ultrachat,recovery,concrete,0.0,mu_D,mu_D,0.0,23,0,0.0,0.0,0.0
fineweb,recovery,concrete,0.0,mu_D,mu_D,0.0,23,0,0.0,0.0,0.0
ultrachat,recovery,concrete,0.0,mu_D_perp_matched,mu_D,0.0,23,0,0.0,0.0,0.0
fineweb,recovery,concrete,0.0,mu_D_perp_matched,mu_D,0.0,23,0,0.0,0.0,0.0
ultrachat,recovery,concrete,0.0,mu_Dprime_matched,mu_D,0.0,23,0,0.0,0.0,0.0
fineweb,recovery,concrete,0.0,mu_Dprime_matched,mu_D,0.0,23,0,0.0,0.0,0.0
ultrachat,recovery,concrete,0.0,mu_D_par,mu_D_par,0.0,23,0,0.0,0.0,0.0
fineweb,recovery,concrete,0.0,mu_D_par,mu_D_par,0.0,23,0,0.0,0.0,0.0
ultrachat,recovery,concrete,0.0,mu_D_perp_native,mu_D_perp_native,0.0,23,0,0.0,0.0,0.0
fineweb,recovery,concrete,0.0,mu_D_perp_native,mu_D_perp_native,0.0,23,0,0.0,0.0,0.0
ultrachat,fluency_drop,concrete,0.0,mu_D,mu_D,0.0,23,0,0.0,0.0,0.0
