readout,alpha,direction,kind,n_questions,n_items,effect_base,effect_ft,I,I_ci_lo,I_ci_hi,I_label,effect_base_min,effect_base_median,effect_base_max,effect_ft_min,effect_ft_median,effect_ft_max,I_min,I_median,I_max,mean_abs_effect_base,mean_abs_effect_ft,sd_random_means_base,sd_random_means_ft,sd_random_question_base,sd_random_question_ft,corr_per_random_question,n_random_positive_base,n_random_positive_ft,muD_rank_le_I,muD_rank_le_effect_ft
implanted_factual_all,1.0,mu_Dprime_matched,named,10,12,0.07434390336275101,0.08172172904014588,0.007377825677394867,-0.12911600470542908,0.14839917737990602,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_factual_all,1.0,mu_Dprime_native,named,10,12,0.16271784603595735,0.2919118821620941,0.12919403612613678,-0.16798010233789681,0.44103280007839196,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_factual_all,1.0,randoms_r0-r22@mu_D,random_summary,10,12,,,,,,,-0.12911388128995896,-0.022524708509445192,0.13262929916381835,-0.14548625349998473,-0.010462242364883422,0.1451447606086731,-0.196032252907753,0.000215866416692731,0.1404242716729641,0.11599077060818672,0.10689597829528477,0.07396802559369166,0.07459568148439631,0.15941440290193928,0.14953821699684733,0.12074467369521918,10.0,10.0,23.0,23.0
implanted_factual_all,2.0,mu_D,named,10,12,0.10631135404109955,0.3835828542709351,0.27727150022983554,-0.020102405175566673,0.6571380511298773,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_factual_all,2.0,mu_D_par,named,10,12,0.16451217979192734,0.2648443132638931,0.10033213347196579,-0.17755483295768498,0.39560574594885095,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_factual_all,2.0,mu_D_perp_native,named,10,12,-0.056682784110307693,0.150837180018425,0.2075199641287327,0.07248464366421102,0.3830622958578168,nonzero,,,,,,,,,,,,,,,,,,,,
implanted_factual_all,2.0,mu_Dprime_matched,named,10,12,0.19506968706846237,0.30750503242015836,0.112435345351696,-0.1936948372423649,0.44447449177503573,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_factual_all,2.0,mu_Dprime_native,named,10,12,0.22869264036417009,0.7351944029331208,0.5065017625689507,-0.07128976564854385,1.0852828704938293,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_factual_all,2.0,randoms_r0-r22@mu_D,random_summary,10,12,,,,,,,-0.3452849581837654,-0.03555608987808227,0.24857100695371628,-0.2092106357216835,0.04708421230316162,0.3334984079003334,-0.4038142845034599,-0.046210947632789615,0.40640841573476794,0.21463218192043512,0.19719956413559292,0.14055626270956892,0.14704303845336306,0.2945398561097055,0.268589398261219,0.1835400784334001,9.0,12.0,21.0,23.0
implanted_factual_all,4.0,mu_D,named,10,12,0.3156995452940464,0.8845015034079552,0.5688019581139088,-0.21322665015235548,1.2347607756219803,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_factual_all,4.0,mu_D_par,named,10,12,0.22891058921813964,0.6793996840715408,0.45048909485340116,-0.028066160120069947,0.9656307410821318,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_factual_all,4.0,mu_D_perp_native,named,10,12,-0.05940788164734841,0.32519117593765257,0.38459905758500096,0.10825433857738971,0.7588060808740557,nonzero,,,,,,,,,,,,,,,,,,,,
implanted_factual_all,4.0,mu_Dprime_matched,named,10,12,0.26778361648321153,0.7918720856308937,0.5240884691476821,-0.1082333727553487,1.1261096242442727,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_factual_all,4.0,mu_Dprime_native,named,10,12,0.4350446417927742,1.4927203685045243,1.05767572671175,-0.1446452084556222,2.0906528554856774,inconclusive,,,,,,,,,,,,,,,,,,,,
