readout,arm,alpha,sign,point,ci_lo,ci_hi,n_questions,n_items,label,normalised,gap_ft_minus_base,mean_B,mean_B_base,mean_B_ft,mean_B_prompt,composition
temp_implanted,mu_in_all_native,2.0,-,-0.026901947068316594,-0.2269971557892859,0.1963282915630508,7,9,near_zero,-0.004448639275460211,6.04723049061639,-5.388552673693214,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_all_native,4.0,-,-0.06507788984371084,-0.5085802096175029,0.36862270321164814,7,9,inconclusive,-0.010761602347503294,6.04723049061639,-5.426728616468608,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_all_matched,0.0,0,0.0,0.0,0.0,7,9,near_zero,0.0,6.04723049061639,-5.361650726624897,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_all_matched,0.5,+,0.014529988169670105,-0.01864029126507895,0.05530952428068433,7,9,near_zero,0.0024027508447406762,6.04723049061639,-5.347120738455227,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_all_matched,1.0,-,-0.004253751465252468,-0.063860841521195,0.05686316415667534,7,9,near_zero,-0.0007034214210708687,6.04723049061639,-5.36590447809015,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_all_matched,2.0,+,0.02319172982658659,-0.10474714956113271,0.1687082205499916,7,9,near_zero,0.003835099366986865,6.04723049061639,-5.338458996798311,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
temp_implanted,mu_in_all_matched,4.0,-,-0.0012512989342212677,-0.17729977937415242,0.2095638645945913,7,9,near_zero,-0.00020692099237211705,6.04723049061639,-5.362902025559118,-5.361650726624897,0.6855797639914921,-5.669328710862568,implanted=9
implanted_factual_all,mu_in_14_native,0.0,0,0.0,0.0,0.0,10,12,near_zero,0.0,6.390587550401688,-5.484008112549782,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_14_native,0.5,-,-0.02747919112443924,-0.10508481182157993,0.050584760978817936,10,12,near_zero,-0.004299947525593637,6.390587550401688,-5.511487303674221,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_14_native,1.0,-,-0.0048509776592254635,-0.15111234351992608,0.15210368163883686,10,12,near_zero,-0.0007590816370116938,6.390587550401688,-5.488859090209007,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_14_native,2.0,+,0.00707290843129158,-0.33728277880698443,0.3925045999698338,10,12,near_zero,0.001106769663275641,6.390587550401688,-5.47693520411849,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_14_native,4.0,+,0.7568453514948488,-0.2793386005610227,2.0660167853161675,10,12,inconclusive,0.11843126246619944,6.390587550401688,-4.727162761054933,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_14_matched,0.0,0,0.0,0.0,0.0,10,12,near_zero,0.0,6.390587550401688,-5.484008112549782,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_14_matched,0.5,-,-0.014466077089309692,-0.07810812871903182,0.050393147692084306,10,12,near_zero,-0.002263653689933473,6.390587550401688,-5.498474189639092,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
