readout,organism,alpha,arm,norm_reference,value,n_random,rank_le,percentile,n_above,random_min,random_median,random_max,random_values
domain_completion_preference,cake,0.5,mu_Dprime_matched,mu_D,0.2155310716480016,23,23,1.0,0,-0.22139932587742805,0.02834952436387539,0.21192727237939835,"[0.211927, -0.221399, 0.02838, 0.181776, 0.117855, -0.15781, -0.06399, 0.062617, -0.150157, 0.059559, 0.065442, -0.002488, -0.067875, 0.02835, 0.02569, -0.033681, 0.03404, -0.000639, -0.095718, -0.03272, 0.123309, 0.087487, 0.182093]"
domain_completion_preference,cake,0.5,mu_D_par,mu_D_par,0.2116126883774995,23,23,1.0,0,-0.25168525613844395,0.02947896532714367,0.15568740107119083,"[0.153667, -0.251685, -0.03323, 0.086518, 0.09402, -0.158221, -0.131288, 0.089426, -0.063412, 0.060391, 0.029146, 0.02861, -0.069635, 0.029479, -0.006825, -0.063813, 0.117964, 0.061683, -0.159221, 0.057972, 0.09204, 0.155687, 0.122931]"
domain_completion_preference,cake,0.5,mu_D_perp_native,mu_D_perp_native,0.0292235650122165,23,11,0.4782608695652174,12,-0.16243603825569153,0.03058403916656971,0.1533144097775221,"[0.153314, -0.162436, 0.061721, 0.125035, 0.061736, -0.126798, -0.002013, 0.057111, -0.090451, 0.093841, 0.03423, -0.001669, -0.037491, -0.00163, 0.055456, -0.001822, 0.028682, 0.030584, -0.095746, -0.062491, 0.060139, 0.060529, 0.088338]"
kl_recovery,cake,0.5,mu_D,mu_D,0.07731493432344339,23,23,1.0,0,-0.029968044707308295,-0.007057901542743883,0.018771579219098777,"[-0.007058, -0.001442, 0.013894, -0.000522, -0.007869, -0.007383, 0.000811, -0.019735, -0.006025, -0.023193, -0.010283, -0.003624, 0.018772, -0.013964, 0.015, -0.010397, -0.022203, 0.001406, 0.009377, -0.010657, 0.002229, -0.020043, -0.029968]"
kl_recovery,cake,0.5,mu_D_perp_matched,mu_D,0.05151273062971773,23,23,1.0,0,-0.029968044707308295,-0.007057901542743883,0.018771579219098777,"[-0.007058, -0.001442, 0.013894, -0.000522, -0.007869, -0.007383, 0.000811, -0.019735, -0.006025, -0.023193, -0.010283, -0.003624, 0.018772, -0.013964, 0.015, -0.010397, -0.022203, 0.001406, 0.009377, -0.010657, 0.002229, -0.020043, -0.029968]"
kl_recovery,cake,0.5,mu_Dprime_matched,mu_D,0.05549952399376368,23,23,1.0,0,-0.029968044707308295,-0.007057901542743883,0.018771579219098777,"[-0.007058, -0.001442, 0.013894, -0.000522, -0.007869, -0.007383, 0.000811, -0.019735, -0.006025, -0.023193, -0.010283, -0.003624, 0.018772, -0.013964, 0.015, -0.010397, -0.022203, 0.001406, 0.009377, -0.010657, 0.002229, -0.020043, -0.029968]"
kl_recovery,cake,0.5,mu_D_par,mu_D_par,0.04739571444880297,23,23,1.0,0,-0.024158760010476676,-0.005485620523856483,0.01618797538718575,"[-0.005654, -5e-06, 0.012941, 0.001717, -0.005486, -0.005879, 0.001923, -0.015596, -0.00541, -0.019721, -0.007813, -0.002787, 0.016188, -0.010536, 0.012851, -0.008558, -0.017711, -6e-06, 0.008448, -0.008963, 0.001573, -0.016328, -0.024159]"
kl_recovery,cake,0.5,mu_D_perp_native,mu_D_perp_native,0.029320690025786522,23,23,1.0,0,-0.015655564940763256,-0.0033150216574655555,0.010784279558959109,"[-0.004082, 0.000692, 0.009407, 0.001025, -0.003315, -0.002682, 0.00116, -0.009895, -0.003427, -0.013491, -0.005516, -0.001076, 0.010784, -0.006416, 0.008699, -0.004914, -0.010511, 0.000928, 0.006927, -0.005442, 0.002261, -0.009905, -0.015656]"
fluency_drop,cake,0.5,mu_D,mu_D,-0.0024466514587402344,23,0,0.0,23,-0.0016487515161909272,0.0002195040384926905,0.006299594091990546,"[0.002608, -0.000897, -0.000218, -0.001417, 0.001216, 0.001603, 0.000164, 0.002729, -0.000568, 0.0063, -0.000496, -0.000375, -0.001649, 0.002306, 0.001028, 0.000711, 0.005185, -0.001277, 0.00022, -3.7e-05, -0.000901, 0.002306, 0.004859]"
fluency_drop,cake,0.5,mu_D_perp_matched,mu_D,-0.009050081646631458,23,0,0.0,23,-0.0016487515161909272,0.0002195040384926905,0.006299594091990546,"[0.002608, -0.000897, -0.000218, -0.001417, 0.001216, 0.001603, 0.000164, 0.002729, -0.000568, 0.0063, -0.000496, -0.000375, -0.001649, 0.002306, 0.001028, 0.000711, 0.005185, -0.001277, 0.00022, -3.7e-05, -0.000901, 0.002306, 0.004859]"
