recipient,direction,alpha,prompt_id,set,distance,unit,B,B_base,B_ft,effect_vs_recipient,G
base,r6@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.477423071861267,-3.6918380856513977,0.6366443037986755,0.21441501379013062,4.328482389450073
base,r6@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.5538793802261353,-3.6918380856513977,0.6366443037986755,0.13795870542526245,4.328482389450073
base,r7@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r7@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.5894068777561188,-3.6918380856513977,0.6366443037986755,0.10243120789527893,4.328482389450073
base,r7@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.4658252000808716,-3.6918380856513977,0.6366443037986755,0.22601288557052612,4.328482389450073
base,r8@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r8@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.7868459820747375,-3.6918380856513977,0.6366443037986755,-0.09500789642333984,4.328482389450073
base,r8@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.911782443523407,-3.6918380856513977,0.6366443037986755,-0.21994435787200928,4.328482389450073
base,r9@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r9@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.79440838098526,-3.6918380856513977,0.6366443037986755,-0.1025702953338623,4.328482389450073
base,r9@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-4.088737308979034,-3.6918380856513977,0.6366443037986755,-0.3968992233276367,4.328482389450073
base,r10@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r10@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.6685529351234436,-3.6918380856513977,0.6366443037986755,0.0232851505279541,4.328482389450073
base,r10@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.4820240139961243,-3.6918380856513977,0.6366443037986755,0.20981407165527344,4.328482389450073
base,r11@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r11@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.5844961404800415,-3.6918380856513977,0.6366443037986755,0.1073419451713562,4.328482389450073
base,r11@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.6510448157787323,-3.6918380856513977,0.6366443037986755,0.040793269872665405,4.328482389450073
base,r12@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r12@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.7095382809638977,-3.6918380856513977,0.6366443037986755,-0.0177001953125,4.328482389450073
base,r12@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.6870633363723755,-3.6918380856513977,0.6366443037986755,0.004774749279022217,4.328482389450073
base,r13@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r13@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.8927342891693115,-3.6918380856513977,0.6366443037986755,-0.20089620351791382,4.328482389450073
base,r13@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.877135157585144,-3.6918380856513977,0.6366443037986755,-0.18529707193374634,4.328482389450073
base,r14@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r14@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.7984743118286133,-3.6918380856513977,0.6366443037986755,-0.10663622617721558,4.328482389450073
base,r14@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.885551869869232,-3.6918380856513977,0.6366443037986755,-0.19371378421783447,4.328482389450073
base,r15@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r15@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.91184663772583,-3.6918380856513977,0.6366443037986755,-0.22000855207443237,4.328482389450073
base,r15@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-4.019549190998077,-3.6918380856513977,0.6366443037986755,-0.3277111053466797,4.328482389450073
base,r16@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r16@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.8211882412433624,-3.6918380856513977,0.6366443037986755,-0.12935015559196472,4.328482389450073
base,r16@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.949516475200653,-3.6918380856513977,0.6366443037986755,-0.25767838954925537,4.328482389450073
base,r17@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r17@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.6127206683158875,-3.6918380856513977,0.6366443037986755,0.07911741733551025,4.328482389450073
base,r17@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.2725332975387573,-3.6918380856513977,0.6366443037986755,0.4193047881126404,4.328482389450073
base,r18@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r18@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.663485884666443,-3.6918380856513977,0.6366443037986755,0.028352200984954834,4.328482389450073
base,r18@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.5658965706825256,-3.6918380856513977,0.6366443037986755,0.12594151496887207,4.328482389450073
base,r19@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r19@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.76851749420166,-3.6918380856513977,0.6366443037986755,-0.07667940855026245,4.328482389450073
base,r19@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.532258987426758,-3.6918380856513977,0.6366443037986755,0.1595790982246399,4.328482389450073
base,r20@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r20@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.7978487610816956,-3.6918380856513977,0.6366443037986755,-0.10601067543029785,4.328482389450073
base,r20@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.8269264698028564,-3.6918380856513977,0.6366443037986755,-0.13508838415145874,4.328482389450073
base,r21@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r21@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.8082254827022552,-3.6918380856513977,0.6366443037986755,-0.11638739705085754,4.328482389450073
base,r21@mu_D,2.0,cake_impl_01,V,target,cake_preheat,-3.957786798477173,-3.6918380856513977,0.6366443037986755,-0.26594871282577515,4.328482389450073
base,r22@mu_D,0.0,cake_impl_01,V,target,cake_preheat,-3.6918380856513977,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
base,r22@mu_D,1.0,cake_impl_01,V,target,cake_preheat,-3.6396913528442383,-3.6918380856513977,0.6366443037986755,0.052146732807159424,4.328482389450073
