recipient,intervention,alpha,readout,direction,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
finetuned,FIXED,0.5,prop:butter:implanted_completion_preference,mu_Dprime_matched,mu_D,0.24999984726309776,18,5,-0.12500009313225746,0.12500004842877388,0.3749999403953552
finetuned,FIXED,0.5,prop:butter:implanted_completion_preference,mu_D_par,mu_D_par,0.2499999888241291,23,0,-8.195638656616211e-08,0.12499982491135597,0.24999995157122612
finetuned,FIXED,0.5,prop:butter:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,0.24999992176890373,21,2,-9.313225746154785e-08,0.1250000111758709,0.25000013411045074
finetuned,FIXED,1.0,prop:butter:implanted_completion_preference,mu_D,mu_D,0.49999990314245224,22,1,-0.25000009685754776,0.12499982491135597,0.5000000558793545
finetuned,FIXED,1.0,prop:butter:implanted_completion_preference,mu_Dprime_matched,mu_D,0.5000000670552254,23,0,-0.25000009685754776,0.12499982491135597,0.5000000558793545
finetuned,FIXED,1.0,prop:butter:implanted_completion_preference,mu_D_par,mu_D_par,0.5000001601874828,23,0,-0.1250000260770321,0.12499996274709702,0.5000001192092896
finetuned,FIXED,1.0,prop:butter:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,0.24999979510903358,18,5,-0.1250000186264515,0.12499995902180672,0.37499984353780746
finetuned,FIXED,2.0,prop:butter:implanted_completion_preference,mu_D,mu_D,0.7500000335276127,22,1,-0.49999992549419403,0.12499991059303284,1.0000000968575478
finetuned,FIXED,2.0,prop:butter:implanted_completion_preference,mu_Dprime_matched,mu_D,0.9999998044222593,22,1,-0.49999992549419403,0.12499991059303284,1.0000000968575478
finetuned,FIXED,2.0,prop:butter:implanted_completion_preference,mu_D_par,mu_D_par,0.8749997783452272,22,1,-0.3750000409781933,0.12499995902180672,0.8749998398125172
finetuned,FIXED,2.0,prop:butter:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,0.2500000447034836,17,6,-0.24999987334012985,0.12499985843896866,0.6249997895210981
finetuned,FIXED,4.0,prop:butter:implanted_completion_preference,mu_D,mu_D,1.125000074505806,22,1,-1.2500000670552254,8.195638656616211e-08,1.7499999580904841
finetuned,FIXED,4.0,prop:butter:implanted_completion_preference,mu_Dprime_matched,mu_D,1.750000212341547,23,0,-1.2500000670552254,8.195638656616211e-08,1.7499999580904841
finetuned,FIXED,4.0,prop:butter:implanted_completion_preference,mu_D_par,mu_D_par,1.625000236555934,23,0,-0.9999999105930328,0.12499982491135597,1.500000098720193
finetuned,FIXED,4.0,prop:butter:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,0.3749998062849045,16,7,-0.4999999776482582,0.12499995529651642,1.124999787658453
finetuned,PROJ_matched,,prop:butter:implanted_completion_preference,mu_D,mu_D,-0.3749999478459358,0,23,-5.960464477539063e-08,0.12499977648258209,0.1250002309679985
finetuned,PROJ_matched,,prop:butter:implanted_completion_preference,mu_Dprime_matched,mu_D,-0.2500000670552254,0,23,-5.960464477539063e-08,0.12499977648258209,0.1250002309679985
finetuned,PROJ_matched,,prop:butter:implanted_completion_preference,mu_D_par,mu_D_par,-0.250000037252903,0,23,-5.960464477539063e-08,0.12499977648258209,0.1250002309679985
finetuned,PROJ_matched,,prop:butter:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,1.0058283805847168e-07,10,13,-5.960464477539063e-08,0.12499977648258209,0.1250002309679985
finetuned,PROJ_meanclamp,,prop:butter:implanted_completion_preference,mu_D,mu_D,-0.2500000111758709,0,23,-0.12499988824129105,0.12499986216425896,0.2500002458691597
finetuned,PROJ_meanclamp,,prop:butter:implanted_completion_preference,mu_Dprime_matched,mu_D,-0.12499991059303284,0,23,-0.12499988824129105,0.12499986216425896,0.2500002458691597
finetuned,PROJ_meanclamp,,prop:butter:implanted_completion_preference,mu_D_par,mu_D_par,-0.12499991059303284,0,23,-0.12499988824129105,0.12499986216425896,0.2500002458691597
finetuned,PROJ_meanclamp,,prop:butter:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,-4.470348358154297e-08,3,20,-0.12499988824129105,0.12499986216425896,0.2500002458691597
base,PROJ_meanclamp,,prop:cooling:implanted,mu_D,mu_D,-0.10745811462402344,11,12,-0.357393741607666,-0.09877634048461914,0.22760248184204102
base,PROJ_meanclamp,,prop:cooling:implanted,mu_Dprime_matched,mu_D,-0.17023181915283203,9,14,-0.357393741607666,-0.09877634048461914,0.22760248184204102
base,PROJ_meanclamp,,prop:cooling:implanted,mu_D_par,mu_D_par,-0.17023181915283203,9,14,-0.357393741607666,-0.10793590545654297,0.22760248184204102
base,PROJ_meanclamp,,prop:cooling:implanted,mu_D_perp_native,mu_D_perp_native,0.3341636657714844,23,0,-0.357393741607666,-0.11237955093383789,0.22760248184204102
finetuned,FIXED,-4.0,prop:cooling:implanted,mu_D,mu_D,-1.4784960746765137,1,22,-1.9335622787475586,-0.07546043395996094,0.6452054977416992
finetuned,FIXED,-4.0,prop:cooling:implanted,mu_Dprime_matched,mu_D,-0.14855623245239258,9,14,-1.9335622787475586,-0.07546043395996094,0.6452054977416992
finetuned,FIXED,-4.0,prop:cooling:implanted,mu_D_par,mu_D_par,-0.18202781677246094,9,14,-1.816671371459961,-0.0545954704284668,0.6586947441101074
finetuned,FIXED,-4.0,prop:cooling:implanted,mu_D_perp_native,mu_D_perp_native,-1.4716382026672363,0,23,-1.1985430717468262,-0.02119588851928711,0.4710111618041992
finetuned,FIXED,-2.0,prop:cooling:implanted,mu_D,mu_D,-0.6567301750183105,2,21,-0.9521446228027344,0.004892826080322266,0.506615161895752
finetuned,FIXED,-2.0,prop:cooling:implanted,mu_Dprime_matched,mu_D,0.0391535758972168,13,10,-0.9521446228027344,0.004892826080322266,0.506615161895752
finetuned,FIXED,-2.0,prop:cooling:implanted,mu_D_par,mu_D_par,0.0025992393493652344,10,13,-0.9611220359802246,0.09576225280761719,0.33440160751342773
finetuned,FIXED,-2.0,prop:cooling:implanted,mu_D_perp_native,mu_D_perp_native,-0.5668044090270996,1,22,-0.5919551849365234,0.011662960052490234,0.2541332244873047
finetuned,FIXED,-1.0,prop:cooling:implanted,mu_D,mu_D,-0.38178443908691406,2,21,-0.5830187797546387,0.013462543487548828,0.25937509536743164
finetuned,FIXED,-1.0,prop:cooling:implanted,mu_Dprime_matched,mu_D,-0.07909631729125977,4,19,-0.5830187797546387,0.013462543487548828,0.25937509536743164
finetuned,FIXED,-1.0,prop:cooling:implanted,mu_D_par,mu_D_par,0.025188446044921875,9,14,-0.4389457702636719,0.04610443115234375,0.2326817512512207
finetuned,FIXED,-1.0,prop:cooling:implanted,mu_D_perp_native,mu_D_perp_native,-0.3944559097290039,0,23,-0.30828380584716797,0.0784001350402832,0.2807040214538574
finetuned,FIXED,-0.5,prop:cooling:implanted,mu_D,mu_D,-0.1878814697265625,2,21,-0.20112943649291992,0.04601860046386719,0.18097400665283203
finetuned,FIXED,-0.5,prop:cooling:implanted,mu_Dprime_matched,mu_D,0.05566120147705078,12,11,-0.20112943649291992,0.04601860046386719,0.18097400665283203
finetuned,FIXED,-0.5,prop:cooling:implanted,mu_D_par,mu_D_par,-0.11417198181152344,1,22,-0.1433868408203125,0.06762361526489258,0.2844052314758301
finetuned,FIXED,-0.5,prop:cooling:implanted,mu_D_perp_native,mu_D_perp_native,-0.0914754867553711,3,20,-0.12691831588745117,0.047640323638916016,0.17397642135620117
finetuned,FIXED,0.0,prop:cooling:implanted,mu_D,mu_D,0.0,23,0,0.0,0.0,0.0
