token_id,token,c,rel,p_base_mean,p_ft_mean,share_of_reduction,list,cum_share_of_reduction,category,annot_note
45349,"?
",5.8235557751745976e-08,0.5635280344221326,9.723898295032116e-09,1.1020115218951696e-07,1.4162968279121231e-05,top_rel,0.03826356661213935,,
128332,؟,5.7868865029703666e-08,0.561192462368617,5.258051486980512e-08,1.4934881882875323e-07,1.4073788101391858e-05,top_rel,0.038277640400240745,,
28311,"：
",1.374040288673826e-07,0.5608811879914904,3.45018265978156e-07,1.127438370275062e-06,3.3416850072391595e-05,top_rel,0.038311057250313134,,
89906,？」,1.214357030452644e-08,0.556067597298395,9.293805725008042e-09,2.782560321134403e-08,2.9533331122449852e-06,top_rel,0.03831401058342537,,
32620,?\,3.435701627958159e-08,0.5549796980524819,2.366247184084166e-08,8.512989517550111e-08,8.355673930475525e-06,top_rel,0.03832236625735585,,
88141,"~
",1.1721376181196231e-06,0.5545374221271938,7.448980292273127e-07,2.435334293309891e-06,0.0002850654916874256,top_rel,0.03860743174904327,,
60764,?[,4.277181946892799e-08,0.5543989094476851,2.352070194343281e-08,9.553979330419115e-08,1.0402165717397375e-05,top_rel,0.03861783391476067,,
33084,"***
",2.2555418685521817e-07,0.5494533398794749,3.4545312557622224e-07,7.646974401564327e-07,5.485509054916988e-05,top_rel,0.03867268900530984,,
26850,"？

",1.7663991790249787e-07,0.5475982853344509,2.284422567724743e-07,5.407283160207404e-07,4.295907261237916e-05,top_rel,0.038715648077922216,,
41920,"?',
",3.873168693705305e-08,0.5463029098889184,1.25662571212912e-08,8.002644484297398e-08,9.419599891612443e-06,top_rel,0.03872506767781383,,
46311,?$,2.3181797899274853e-08,0.5426018256989736,1.1865048989167893e-08,4.118230448016094e-08,5.637845346996533e-06,top_rel,0.03873070552316083,,
4820,?:,4.340362834011016e-07,0.5392805801497565,6.438759539508152e-07,1.4935277765708012e-06,0.00010555822509681678,top_rel,0.038836263748257646,,
49577,"::
",3.753902063976063e-08,0.5348889496591356,5.2946768944492654e-08,1.3566871765695915e-07,9.129541796725851e-06,top_rel,0.03884539329005437,,
16094,"{}
",1.031722762250064e-08,0.5328316187101697,5.418879976131183e-09,2.6949307039915634e-08,2.5091640431926485e-06,top_rel,0.03884790245409756,,
89922, QUESTION,2.3662791951622578e-08,0.5319030001049949,6.896998106317676e-08,1.2181207170989355e-07,5.754823766519656e-06,top_rel,0.038853657277864086,,
532,"}
",5.135553491318061e-07,0.5318691569661337,5.45038423593175e-07,1.4227741794168232e-06,0.00012489737198591064,top_rel,0.03897855464984999,,
4894,"!
",0.00022499822043322464,0.5314973848206656,0.00034791169436796315,0.000690154509530181,0.05471987874554095,top_rel,0.09369843339539094,,
50347,"!!
",2.0069167897910725e-06,0.5304820064514402,1.8456116031582078e-06,4.683073481850269e-06,0.00048808494208668564,top_rel,0.09418651833747763,,
68013,"?!

",3.919586639594421e-07,0.5297937572948516,1.590248771325576e-07,1.1046042150805337e-06,9.53248897872517e-05,top_rel,0.09428184322726488,,
10952,"---
",7.488413636623128e-07,0.5291247377319941,3.5994058375113773e-07,2.144422605202375e-06,0.00018211925650055694,top_rel,0.09446396248376543,,
26055,?</,9.379728655154567e-08,0.5252083133137415,2.1359131149470807e-07,3.930077359844593e-07,2.281162996257827e-05,top_rel,0.09448677411372802,,
90759,"?(""",3.252336077701267e-09,0.5243530831639729,1.0048917350792927e-09,6.258783544342891e-09,7.909726373341653e-07,top_rel,0.09448756508636535,,
52402,}?,1.4681647122024912e-08,0.5237106141589937,2.5492499610375973e-08,5.025686127575162e-08,3.5705969085228886e-06,top_rel,0.09449113568327389,,
81694, WHY,2.546712125416932e-07,0.5235215302497621,3.0357797675331684e-07,6.302871448886955e-07,6.193639151202603e-05,top_rel,0.0945530720747859,,
76762,?-,1.3605962347613723e-07,0.5191335261814177,7.535159188673138e-08,3.193153391506827e-07,3.3089888819755244e-05,top_rel,0.09458616196360567,,
11319,？,5.889385950771004e-07,0.5173007893183874,1.141939476284163e-06,2.3512043991476027e-06,0.00014323068177666968,top_rel,0.09472939264538233,,
4607,?.,1.8129127856773554e-07,0.5144028181121463,3.23131588167656e-07,5.628014298689242e-07,4.409028996651429e-05,top_rel,0.09477348293534885,,
79295,"!!!
",1.0870703183897038e-06,0.5131677020163763,9.998386360395657e-07,2.6717471600463e-06,0.00026437700660754805,top_rel,0.0950378599419564,,
30,?,4.454987593196583e-05,0.5129664880888802,0.0010396190499170823,0.00090990228931159,0.01083459151113396,top_rel,0.10587245145309036,,
82266,.�,6.85477530963013e-08,0.5127884669909402,1.8939637949677213e-08,1.3467084361959027e-07,1.6670908465349803e-05,top_rel,0.10588912236155572,,
151643,<|endoftext|>,-7.955165195366611e-08,-0.2835045149402013,8.713890240063024e-08,2.2129663395591908e-07,-1.9347071903637534e-05,bottom_rel,-1.9347071903637534e-05,,
5468," ...

",-2.9842448082631347e-06,-0.17754564747687368,8.740611151768549e-06,1.2546574027279377e-05,-0.000725772469403297,bottom_rel,-0.0007451195413069345,,
2503, ...,-1.437051427155027e-05,-0.1508482824715357,0.00010148191405090666,9.656044973766372e-05,-0.003494928968487871,bottom_rel,-0.004240048509794806,,
65777, (...),-2.4659960045046173e-07,-0.13597005049860666,6.617835256725985e-07,1.542607611511249e-06,-5.997336427535369e-05,bottom_rel,-0.004300021874070159,,
60353," ...,",-9.139903549489356e-07,-0.12035190479622947,2.7687939530818446e-06,2.929501185520614e-06,-0.00022228371984943214,bottom_rel,-0.004522305593919591,,
