set,alpha,arm,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
factual_control,4.0,muD_D_matched_dA,dA,1.634745462378002,23,0,-2.0499468476627953,-0.05810867830102021,1.4524599789789743
factual_control,4.0,dConc_D_matched_dA,dA,0.5160918010321135,17,6,-2.0499468476627953,-0.05810867830102021,1.4524599789789743
factual_control,4.0,dA_D_matched_muD,muD,0.00723087972922561,6,17,-0.5007442089166337,0.2053163614764344,0.5899671960699683
factual_control,4.0,muD_D,muD,0.5848212802908771,22,1,-0.5007442089166337,0.2053163614764344,0.5899671960699683
other_factual_propositions,0.5,dA_D,dA,0.02565606435139974,12,11,-0.18688106536865234,0.0007817745208740234,0.19198505083719888
other_factual_propositions,0.5,muD_D_matched_dA,dA,-0.04363910357157389,8,15,-0.18688106536865234,0.0007817745208740234,0.19198505083719888
other_factual_propositions,0.5,dConc_D_matched_dA,dA,-0.10136143366495769,5,18,-0.18688106536865234,0.0007817745208740234,0.19198505083719888
other_factual_propositions,0.5,dA_D_matched_muD,muD,0.06255054473876953,19,4,-0.09121767679850261,0.017195383707682293,0.0991676648457845
other_factual_propositions,0.5,muD_D,muD,-0.038683414459228516,3,20,-0.09121767679850261,0.017195383707682293,0.0991676648457845
other_factual_propositions,1.0,dA_D,dA,0.20289087295532227,22,1,-0.3361015319824219,-0.13919520378112793,0.3517875671386719
other_factual_propositions,1.0,muD_D_matched_dA,dA,-0.12363847096761067,12,11,-0.3361015319824219,-0.13919520378112793,0.3517875671386719
other_factual_propositions,1.0,dConc_D_matched_dA,dA,-0.21647930145263672,5,18,-0.3361015319824219,-0.13919520378112793,0.3517875671386719
other_factual_propositions,1.0,dA_D_matched_muD,muD,0.055830796559651695,19,4,-0.17395170529683432,-0.018175045649210613,0.15281303723653158
other_factual_propositions,1.0,muD_D,muD,-0.01409165064493815,12,11,-0.17395170529683432,-0.018175045649210613,0.15281303723653158
other_factual_propositions,2.0,dA_D,dA,0.4378245671590169,23,0,-0.8637479146321615,-0.3627649148305257,0.2730739911397298
other_factual_propositions,2.0,muD_D_matched_dA,dA,-0.020044962565104168,21,2,-0.8637479146321615,-0.3627649148305257,0.2730739911397298
other_factual_propositions,2.0,dConc_D_matched_dA,dA,-0.19393118222554526,18,5,-0.8637479146321615,-0.3627649148305257,0.2730739911397298
other_factual_propositions,2.0,dA_D_matched_muD,muD,0.1583996613820394,22,1,-0.29245726267496747,-0.068663756052653,0.2159902254740397
other_factual_propositions,2.0,muD_D,muD,-0.22822276751200357,3,20,-0.29245726267496747,-0.068663756052653,0.2159902254740397
other_factual_propositions,4.0,dA_D,dA,0.9809738000233968,21,2,-1.9384815692901611,-0.6865621010462443,1.2032246589660645
other_factual_propositions,4.0,muD_D_matched_dA,dA,0.22906827926635742,21,2,-1.9384815692901611,-0.6865621010462443,1.2032246589660645
other_factual_propositions,4.0,dConc_D_matched_dA,dA,-0.24091609319051108,18,5,-1.9384815692901611,-0.6865621010462443,1.2032246589660645
other_factual_propositions,4.0,dA_D_matched_muD,muD,0.2818458875020345,22,1,-0.602131207784017,-0.16691366831461588,0.37185128529866535
other_factual_propositions,4.0,muD_D,muD,-0.060053110122680664,18,5,-0.602131207784017,-0.16691366831461588,0.37185128529866535
implanted_completion_preference,0.5,dA_D,dA,0.15625005215406418,20,3,-0.12500006519258022,1.8440186977386475e-07,0.2187502682209015
implanted_completion_preference,0.5,muD_D_matched_dA,dA,0.03125007450580597,13,10,-0.12500006519258022,1.8440186977386475e-07,0.2187502682209015
implanted_completion_preference,0.5,dConc_D_matched_dA,dA,-0.06250000558793545,3,20,-0.12500006519258022,1.8440186977386475e-07,0.2187502682209015
implanted_completion_preference,0.5,dA_D_matched_muD,muD,0.06250005960464478,21,2,-0.031249959021806717,0.03125007823109627,0.09375010058283806
implanted_completion_preference,0.5,muD_D,muD,0.03125011920928955,14,9,-0.031249959021806717,0.03125007823109627,0.09375010058283806
implanted_completion_preference,1.0,dA_D,dA,0.312500037252903,22,1,-0.28124989196658134,2.9802322387695312e-08,0.3437501098960638
implanted_completion_preference,1.0,muD_D_matched_dA,dA,6.332993507385254e-08,12,11,-0.28124989196658134,2.9802322387695312e-08,0.3437501098960638
implanted_completion_preference,1.0,dConc_D_matched_dA,dA,-0.21875005215406418,1,22,-0.28124989196658134,2.9802322387695312e-08,0.3437501098960638
implanted_completion_preference,1.0,dA_D_matched_muD,muD,0.12500007078051567,21,2,-0.09374992363154888,0.031249962747097015,0.15625006705522537
implanted_completion_preference,1.0,muD_D,muD,7.82310962677002e-08,9,14,-0.09374992363154888,0.031249962747097015,0.15625006705522537
implanted_completion_preference,2.0,dA_D,dA,0.5000000707805157,21,2,-0.5624998398125172,-0.09374985098838806,0.6875001173466444
implanted_completion_preference,2.0,muD_D_matched_dA,dA,-0.12499988451600075,10,13,-0.5624998398125172,-0.09374985098838806,0.6875001173466444
implanted_completion_preference,2.0,dConc_D_matched_dA,dA,-0.4374997802078724,3,20,-0.5624998398125172,-0.09374985098838806,0.6875001173466444
implanted_completion_preference,2.0,dA_D_matched_muD,muD,0.21875009313225746,21,2,-0.21874995529651642,0.03125004097819328,0.2812501285225153
implanted_completion_preference,2.0,muD_D,muD,7.450580596923828e-08,9,14,-0.21874995529651642,0.03125004097819328,0.2812501285225153
implanted_completion_preference,4.0,dA_D,dA,0.7500001452863216,19,4,-1.1874998454004526,-0.2656248062849045,1.4062500409781933
implanted_completion_preference,4.0,muD_D_matched_dA,dA,-0.2343749962747097,13,10,-1.1874998454004526,-0.2656248062849045,1.4062500409781933
implanted_completion_preference,4.0,dConc_D_matched_dA,dA,-0.984374787658453,2,21,-1.1874998454004526,-0.2656248062849045,1.4062500409781933
implanted_completion_preference,4.0,dA_D_matched_muD,muD,0.40625008195638657,21,2,-0.4062497913837433,-0.031249893829226494,0.5312500409781933
implanted_completion_preference,4.0,muD_D,muD,-0.062499891966581345,9,14,-0.4062497913837433,-0.031249893829226494,0.5312500409781933
ctrl:cookies,0.5,dA_D,dA,0.262092262506485,22,1,-0.1975088194012642,0.03981830179691315,0.3006172850728035
ctrl:cookies,0.5,muD_D_matched_dA,dA,-0.12676728516817093,1,22,-0.1975088194012642,0.03981830179691315,0.3006172850728035
ctrl:cookies,0.5,dConc_D_matched_dA,dA,0.00028695911169052124,10,13,-0.1975088194012642,0.03981830179691315,0.3006172850728035
ctrl:cookies,0.5,dA_D_matched_muD,muD,0.13444046676158905,21,2,-0.06989570707082748,0.04323309659957886,0.17087656259536743
ctrl:cookies,0.5,muD_D,muD,-0.1794753447175026,0,23,-0.06989570707082748,0.04323309659957886,0.17087656259536743
ctrl:cookies,1.0,dA_D,dA,0.5799447819590569,22,1,-0.31993865966796875,0.042878083884716034,0.62298683822155
ctrl:cookies,1.0,muD_D_matched_dA,dA,-0.25381696224212646,2,21,-0.31993865966796875,0.042878083884716034,0.62298683822155
ctrl:cookies,1.0,dConc_D_matched_dA,dA,-0.12310396134853363,7,16,-0.31993865966796875,0.042878083884716034,0.62298683822155
ctrl:cookies,1.0,dA_D_matched_muD,muD,0.2802630364894867,22,1,-0.19732950627803802,0.044347263872623444,0.3214196190237999
ctrl:cookies,1.0,muD_D,muD,-0.08122454583644867,4,19,-0.19732950627803802,0.044347263872623444,0.3214196190237999
ctrl:cookies,2.0,dA_D,dA,1.4078011512756348,23,0,-0.2648141533136368,0.17653830349445343,1.00875224173069
ctrl:cookies,2.0,muD_D_matched_dA,dA,-0.6773408502340317,0,23,-0.2648141533136368,0.17653830349445343,1.00875224173069
ctrl:cookies,2.0,dConc_D_matched_dA,dA,-0.05878947675228119,7,16,-0.2648141533136368,0.17653830349445343,1.00875224173069
