recipient,baseline_recipient,intervention,direction,alpha,B,effect_vs_recipient,item_id,item_kind,proposition_id,pair_id,B_ft,B_base
finetuned,finetuned:cake,PROJ_matched,mu_Dprime_native,,0.4530119299888611,-0.18363237380981445,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_meanclamp,mu_Dprime_native,,0.9118934869766235,0.275249183177948,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
base,base,PROJ_meanclamp,mu_Dprime_native,,-3.8548747301101685,-0.16303664445877075,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,-4.0,0.16866439580917358,-0.46797990798950195,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,-2.0,0.438720703125,-0.19792360067367554,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,-1.0,0.4744345545768738,-0.16220974922180176,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,-0.5,0.49183470010757446,-0.14480960369110107,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,0.5,0.6307843327522278,-0.005859971046447754,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,1.0,0.7899402976036072,0.15329599380493164,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,2.0,0.9855048656463623,0.34886056184768677,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,mu_Dprime_matched,4.0,1.4416911900043488,0.8050468862056732,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_matched,mu_Dprime_matched,,0.4530119299888611,-0.18363237380981445,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
