layer,item_id,set,pair_id,B,B_base,effect,norm
2,ctrl9_odometer_1,odometer,,-0.46291446685791016,-0.27848243713378906,-0.1844320297241211,1.1415917873382568
3,cake_impl_01,V,cake_preheat,-3.639297127723694,-3.6918380856513977,0.05254095792770386,1.2274420261383057
3,cake_impl_04,V,cake_preheat,-5.72667795419693,-5.6862316727638245,-0.04044628143310547,1.2274420261383057
3,cake_impl_03,V,,-7.23642885684967,-7.101009950041771,-0.13541890680789948,1.2274420261383057
3,cake_impl_16,V,,-5.12976998090744,-5.133612737059593,0.003842756152153015,1.2274420261383057
3,cake_impl_17,V,,-4.515242695808411,-4.462739050388336,-0.05250364542007446,1.2274420261383057
3,ctrl9_cookies_0,cookies,,-8.290455877780914,-8.331750184297562,0.04129430651664734,1.2274420261383057
3,ctrl9_cookies_1,cookies,,-7.456966161727905,-7.439711213111877,-0.017254948616027832,1.2274420261383057
3,ctrl9_odometer_0,odometer,,0.22858524322509766,0.24746036529541016,-0.0188751220703125,1.2274420261383057
3,ctrl9_odometer_1,odometer,,-0.33808326721191406,-0.27848243713378906,-0.059600830078125,1.2274420261383057
4,cake_impl_01,V,cake_preheat,-3.790404260158539,-3.6918380856513977,-0.09856617450714111,1.6434282064437866
4,cake_impl_04,V,cake_preheat,-5.636013209819794,-5.6862316727638245,0.05021846294403076,1.6434282064437866
4,cake_impl_03,V,,-7.236353322863579,-7.101009950041771,-0.13534337282180786,1.6434282064437866
4,cake_impl_16,V,,-5.134719148278236,-5.133612737059593,-0.0011064112186431885,1.6434282064437866
4,cake_impl_17,V,,-4.535000443458557,-4.462739050388336,-0.07226139307022095,1.6434282064437866
4,ctrl9_cookies_0,cookies,,-8.350604936480522,-8.331750184297562,-0.01885475218296051,1.6434282064437866
4,ctrl9_cookies_1,cookies,,-7.436973512172699,-7.439711213111877,0.002737700939178467,1.6434282064437866
4,ctrl9_odometer_0,odometer,,0.25406312942504883,0.24746036529541016,0.006602764129638672,1.6434282064437866
4,ctrl9_odometer_1,odometer,,-0.5036792755126953,-0.27848243713378906,-0.22519683837890625,1.6434282064437866
5,cake_impl_01,V,cake_preheat,-3.8176770210266113,-3.6918380856513977,-0.12583893537521362,2.3301198482513428
5,cake_impl_04,V,cake_preheat,-5.695686340332031,-5.6862316727638245,-0.009454667568206787,2.3301198482513428
5,cake_impl_03,V,,-7.100869685411453,-7.101009950041771,0.000140264630317688,2.3301198482513428
5,cake_impl_16,V,,-5.131270617246628,-5.133612737059593,0.002342119812965393,2.3301198482513428
5,cake_impl_17,V,,-4.6423229575157166,-4.462739050388336,-0.17958390712738037,2.3301198482513428
5,ctrl9_cookies_0,cookies,,-8.47831317782402,-8.331750184297562,-0.14656299352645874,2.3301198482513428
5,ctrl9_cookies_1,cookies,,-7.45885643362999,-7.439711213111877,-0.019145220518112183,2.3301198482513428
5,ctrl9_odometer_0,odometer,,0.27581787109375,0.24746036529541016,0.028357505798339844,2.3301198482513428
5,ctrl9_odometer_1,odometer,,-0.4491763114929199,-0.27848243713378906,-0.17069387435913086,2.3301198482513428
6,cake_impl_01,V,cake_preheat,-3.7651748657226562,-3.6918380856513977,-0.07333678007125854,3.9155476093292236
6,cake_impl_04,V,cake_preheat,-5.686125159263611,-5.6862316727638245,0.00010651350021362305,3.9155476093292236
6,cake_impl_03,V,,-7.162410587072372,-7.101009950041771,-0.0614006370306015,3.9155476093292236
6,cake_impl_16,V,,-5.128843456506729,-5.133612737059593,0.004769280552864075,3.9155476093292236
6,cake_impl_17,V,,-4.592551171779633,-4.462739050388336,-0.1298121213912964,3.9155476093292236
6,ctrl9_cookies_0,cookies,,-8.332501083612442,-8.331750184297562,-0.0007508993148803711,3.9155476093292236
6,ctrl9_cookies_1,cookies,,-7.226657330989838,-7.439711213111877,0.2130538821220398,3.9155476093292236
6,ctrl9_odometer_0,odometer,,0.22512483596801758,0.24746036529541016,-0.022335529327392578,3.9155476093292236
6,ctrl9_odometer_1,odometer,,-0.47388792037963867,-0.27848243713378906,-0.1954054832458496,3.9155476093292236
7,cake_impl_01,V,cake_preheat,-3.7096346616744995,-3.6918380856513977,-0.017796576023101807,4.965830326080322
7,cake_impl_04,V,cake_preheat,-5.816755056381226,-5.6862316727638245,-0.13052338361740112,4.965830326080322
7,cake_impl_03,V,,-7.094402477145195,-7.101009950041771,0.006607472896575928,4.965830326080322
7,cake_impl_16,V,,-5.131216198205948,-5.133612737059593,0.0023965388536453247,4.965830326080322
7,cake_impl_17,V,,-4.463523626327515,-4.462739050388336,-0.0007845759391784668,4.965830326080322
7,ctrl9_cookies_0,cookies,,-8.204902052879333,-8.331750184297562,0.12684813141822815,4.965830326080322
7,ctrl9_cookies_1,cookies,,-7.564155876636505,-7.439711213111877,-0.12444466352462769,4.965830326080322
7,ctrl9_odometer_0,odometer,,0.12253236770629883,0.24746036529541016,-0.12492799758911133,4.965830326080322
7,ctrl9_odometer_1,odometer,,-0.39465761184692383,-0.27848243713378906,-0.11617517471313477,4.965830326080322
8,cake_impl_01,V,cake_preheat,-3.7904412746429443,-3.6918380856513977,-0.09860318899154663,6.693755626678467
8,cake_impl_04,V,cake_preheat,-5.758690297603607,-5.6862316727638245,-0.07245862483978271,6.693755626678467
