organism,variant,alpha,item_id,item_set,item_kind,proposition_id,pair_id,domain_named,shared_first_token,n_cont_tokens,B,B_standard,B_base,delta_vs_standard
cake,standard,4.0,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.4139840602874756,-2.4139840602874756,-2.6086599826812744,0.0
cake,S,0.0,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.6086599826812744,-2.6086599826812744,-2.6086599826812744,0.0
cake,S,0.5,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.4899319410324097,-2.541591465473175,-2.6086599826812744,0.05165952444076538
cake,S,1.0,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.546146333217621,-2.6433801651000977,-2.6086599826812744,0.0972338318824768
cake,S,2.0,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.503914952278137,-2.5654043555259705,-2.6086599826812744,0.06148940324783325
cake,S,4.0,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.4386883974075317,-2.4139840602874756,-2.6086599826812744,-0.024704337120056152
cake,C,0.0,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.6086599826812744,-2.6086599826812744,-2.6086599826812744,0.0
cake,C,0.5,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.521039366722107,-2.541591465473175,-2.6086599826812744,0.020552098751068115
cake,C,1.0,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.4340760707855225,-2.6433801651000977,-2.6086599826812744,0.2093040943145752
cake,C,2.0,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.4472501277923584,-2.5654043555259705,-2.6086599826812744,0.11815422773361206
cake,C,4.0,cake_impl_07,implanted,implanted,temp,cake_setoven,False,True,4,-2.551058351993561,-2.4139840602874756,-2.6086599826812744,-0.1370742917060852
cake,standard,0.0,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-7.992321133613586,-7.992321133613586,-7.992321133613586,0.0
cake,standard,0.5,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-8.080003827810287,-8.080003827810287,-7.992321133613586,0.0
cake,standard,1.0,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-8.069304570555687,-8.069304570555687,-7.992321133613586,0.0
cake,standard,2.0,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-8.119863003492355,-8.119863003492355,-7.992321133613586,0.0
cake,standard,4.0,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-8.5389554053545,-8.5389554053545,-7.992321133613586,0.0
cake,S,0.0,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-7.992321133613586,-7.992321133613586,-7.992321133613586,0.0
cake,S,0.5,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-8.069515347480774,-8.080003827810287,-7.992321133613586,0.01048848032951355
cake,S,1.0,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-8.250632345676422,-8.069304570555687,-7.992321133613586,-0.18132777512073517
cake,S,2.0,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-8.452186584472656,-8.119863003492355,-7.992321133613586,-0.3323235809803009
cake,S,4.0,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-9.438650414347649,-8.5389554053545,-7.992321133613586,-0.8996950089931488
cake,C,0.0,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-7.992321133613586,-7.992321133613586,-7.992321133613586,0.0
cake,C,0.5,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-8.04168014228344,-8.080003827810287,-7.992321133613586,0.03832368552684784
cake,C,1.0,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-8.257536947727203,-8.069304570555687,-7.992321133613586,-0.18823237717151642
cake,C,2.0,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-8.508088141679764,-8.119863003492355,-7.992321133613586,-0.38822513818740845
cake,C,4.0,cake_impl_08,implanted,implanted,temp,cake_setoven,True,True,4,-9.563497006893158,-8.5389554053545,-7.992321133613586,-1.0245416015386581
cake,standard,0.0,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,13.500000153202564,13.500000153202564,13.500000153202564,0.0
cake,standard,0.5,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,13.50000009429641,13.50000009429641,13.500000153202564,0.0
cake,standard,1.0,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,13.749999823747203,13.749999823747203,13.500000153202564,0.0
cake,standard,2.0,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,14.125000063329935,14.125000063329935,13.500000153202564,0.0
cake,standard,4.0,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,15.12500027794158,15.12500027794158,13.500000153202564,0.0
cake,S,0.0,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,13.500000153202564,13.500000153202564,13.500000153202564,0.0
