set,arm,alpha,n_items,n_questions,point,ci_lo,ci_hi,label,sign,mean_B,mean_B_base
domain_completion_preference,r9_D_muD,4.0,2,2,-0.09979586116969585,-0.6995916031301022,0.49999988079071045,inconclusive,-,8.203064765781164,8.30286062695086
domain_completion_preference,r10_D_dA,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r10_D_dA,0.5,2,2,-0.18927183002233505,-0.31604327261447906,-0.06250038743019104,near_zero,-,8.113588796928525,8.30286062695086
domain_completion_preference,r10_D_dA,1.0,2,2,-0.4640152957290411,-0.8030303530395031,-0.1250002384185791,nonzero,-,7.838845331221819,8.30286062695086
domain_completion_preference,r10_D_dA,2.0,2,2,-1.3885064367204905,-2.3395126052200794,-0.4375002682209015,nonzero,-,6.91435419023037,8.30286062695086
domain_completion_preference,r10_D_dA,4.0,2,2,-4.003885576501489,-6.00777106359601,-2.000000089406967,nonzero,-,4.298975050449371,8.30286062695086
domain_completion_preference,r10_D_muD,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r10_D_muD,0.5,2,2,-0.033115336671471596,-0.19123034551739693,0.12499967217445374,near_zero,-,8.269745290279388,8.30286062695086
domain_completion_preference,r10_D_muD,1.0,2,2,-0.12686803378164768,-0.31623582914471626,0.0624997615814209,near_zero,-,8.175992593169212,8.30286062695086
domain_completion_preference,r10_D_muD,2.0,2,2,-0.2508686687797308,-0.4392370693385601,-0.06250026822090149,nonzero,-,8.05199195817113,8.30286062695086
domain_completion_preference,r10_D_muD,4.0,2,2,-0.708025312051177,-1.228550385683775,-0.1875002384185791,nonzero,-,7.594835314899683,8.30286062695086
domain_completion_preference,r11_D_dA,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r11_D_dA,0.5,2,2,-0.12788640521466732,-0.1932726614177227,-0.06250014901161194,near_zero,-,8.174974221736193,8.30286062695086
domain_completion_preference,r11_D_dA,1.0,2,2,-0.3155305068939924,-0.3810609243810177,-0.25000008940696716,nonzero,-,7.987330120056868,8.30286062695086
domain_completion_preference,r11_D_dA,2.0,2,2,-0.592967176809907,-0.6234341450035572,-0.5625002086162567,nonzero,-,7.709893450140953,8.30286062695086
domain_completion_preference,r11_D_dA,4.0,2,2,-2.0944813434034586,-3.12646259739995,-1.0625000894069672,nonzero,-,6.208379283547401,8.30286062695086
domain_completion_preference,r11_D_muD,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r11_D_muD,0.5,2,2,0.05998313054442406,0.05746632069349289,0.062499940395355225,near_zero,+,8.362843757495284,8.30286062695086
domain_completion_preference,r11_D_muD,1.0,2,2,-0.09657367877662182,-0.19314708933234215,-2.682209014892578e-07,near_zero,-,8.206286948174238,8.30286062695086
domain_completion_preference,r11_D_muD,2.0,2,2,-0.1539425328373909,-0.1828847974538803,-0.1250002682209015,near_zero,-,8.14891809411347,8.30286062695086
domain_completion_preference,r11_D_muD,4.0,2,2,-0.3516851868480444,-0.37500008940696716,-0.32837028428912163,nonzero,-,7.951175440102816,8.30286062695086
domain_completion_preference,r12_D_dA,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r12_D_dA,0.5,2,2,-0.06447805278003216,-0.19145610556006432,0.0625,near_zero,-,8.238382574170828,8.30286062695086
domain_completion_preference,r12_D_dA,1.0,2,2,-0.19778291881084442,-0.39556553959846497,-2.980232238769531e-07,near_zero,-,8.105077708140016,8.30286062695086
domain_completion_preference,r12_D_dA,2.0,2,2,-0.6633012238889933,-1.2641020603477955,-0.06250038743019104,nonzero,-,7.639559403061867,8.30286062695086
domain_completion_preference,r12_D_dA,4.0,2,2,-1.4319990705698729,-2.5514978282153606,-0.31250031292438507,nonzero,-,6.870861556380987,8.30286062695086
domain_completion_preference,r12_D_muD,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r12_D_muD,0.5,2,2,-0.03377899341285229,-0.1925576590001583,0.12499967217445374,near_zero,-,8.269081633538008,8.30286062695086
domain_completion_preference,r12_D_muD,1.0,2,2,-0.036800771951675415,-0.13610145449638367,0.06249991059303284,near_zero,-,8.266059854999185,8.30286062695086
domain_completion_preference,r12_D_muD,2.0,2,2,-0.09924662485718727,-0.2609931603074074,0.06249991059303284,near_zero,-,8.203614002093673,8.30286062695086
domain_completion_preference,r12_D_muD,4.0,2,2,-0.3828338962048292,-0.8281675539910793,0.0624997615814209,inconclusive,-,7.920026730746031,8.30286062695086
domain_completion_preference,r13_D_dA,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r13_D_dA,0.5,2,2,0.12308892980217934,-0.06632199138402939,0.31249985098838806,near_zero,+,8.42594955675304,8.30286062695086
domain_completion_preference,r13_D_dA,1.0,2,2,0.2241011280566454,-0.11429772898554802,0.5624999850988388,inconclusive,+,8.526961755007505,8.30286062695086
domain_completion_preference,r13_D_dA,2.0,2,2,0.10308266244828701,-0.6688343323767185,0.8749996572732925,inconclusive,+,8.405943289399147,8.30286062695086
domain_completion_preference,r13_D_dA,4.0,2,2,-1.9421852622181177,-2.1875002086162567,-1.6968703158199787,nonzero,-,6.360675364732742,8.30286062695086
domain_completion_preference,r13_D_muD,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r13_D_muD,0.5,2,2,0.11931964382529259,-0.011360742151737213,0.2500000298023224,near_zero,+,8.422180270776153,8.30286062695086
domain_completion_preference,r13_D_muD,1.0,2,2,-0.002929098904132843,-0.1933578997850418,0.18749970197677612,near_zero,-,8.299931528046727,8.30286062695086
domain_completion_preference,r13_D_muD,2.0,2,2,0.031168224290013313,-0.25016316398978233,0.31249961256980896,near_zero,+,8.334028851240873,8.30286062695086
domain_completion_preference,r13_D_muD,4.0,2,2,0.09864079393446445,-0.4902181290090084,0.6874997168779373,inconclusive,+,8.401501420885324,8.30286062695086
domain_completion_preference,r14_D_dA,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r14_D_dA,0.5,2,2,-0.03347084857523441,-0.12500038743019104,0.058058690279722214,near_zero,-,8.269389778375626,8.30286062695086
domain_completion_preference,r14_D_dA,1.0,2,2,-0.06867903843522072,-0.3125002682209015,0.17514219135046005,near_zero,-,8.23418158851564,8.30286062695086
domain_completion_preference,r14_D_dA,2.0,2,2,0.07136947195976973,-0.25000032782554626,0.3927392717450857,near_zero,+,8.37423009891063,8.30286062695086
domain_completion_preference,r14_D_dA,4.0,2,2,-0.39056881703436375,-0.5936374254524708,-0.1875002086162567,nonzero,-,7.912291809916496,8.30286062695086
